MM - Texas	Abilene Times	2241	266538	2020-04-06	6
MM - New Mexico	ABQ Times	2636	266835	2020-04-01	1
MM - South Carolina	Aiken Times	2787	266727	2020-04-01	1
Metro Business Network	Alabama Business Daily	1633	43964	2019-10-15	79
Metro Business Network	Alaska Business Daily	1634	44009	2019-08-20	5
MM - Georgia	Albany Standard	2307	266645	2020-04-04	4
MM - West Virginia	Allegheny Highlands Today	2641	266858	2020-04-01	1
MM - Pennsylvania	Altoona Times	2040	266616	2020-04-05	5
MM - Texas	Amarillo Gazette	2243	266823	2020-04-03	3
MM - Iowa	Ames Today	2044	266565	2020-04-05	5
MM - Michigan	Ann Arbor Times	1889	266712	2020-04-01	1
MM - Maryland	Anne Arundel Today	1684	266490	2020-04-03	3
MM - Minnesota	Anoka Times	2080	266649	2020-04-02	2
Metro Business Network	Arizona Business Daily	1147	44014	2019-08-21	6
Metro Business Network	Arkansas Business Daily	1673	43966	2019-10-15	64
MM - North Carolina	Asheville Reporter	2140	266575	2020-04-02	2
MM - Georgia	Athens Reporter	2335	266481	2020-04-08	8
MM - Georgia	ATL Standard	2318	266404	2020-04-08	8
MM - New Jersey	Atlantic County Times	2514	266842	2020-04-01	1
MM - Alabama	Auburn Times	2541	266379	2020-04-02	2
MM - Alabama	Baldwin Times	2542	266764	2020-04-01	1
MM - Maryland	Baltimore City Wire	1685	266429	2020-04-05	5
MM - Louisiana	Baton Rouge Reporter	2588	266459	2020-04-09	9
MM - Michigan	Battle Creek Times	1890	266393	2020-04-01	1
MM - Massachusetts	Bean Town Times	2769	266327	2020-04-11	11
MM - Pennsylvania	Berks County News	2030	266528	2020-04-02	2
MM - Indiana	Bloomington Leader	2472	266831	2020-04-01	1
MM - West Virginia	Bluestone News	2642	266413	2020-04-04	4
MM - Idaho	Boise City Wire	2676	266597	2020-04-02	2
MM - Kentucky	Bowling Green Today	2430	266675	2020-04-02	2
MM - Missouri	Branson Times	2130	266628	2020-04-03	3
MM - Florida	Brevard Sun	1961	266683	2020-04-03	3
MM - Connecticut	Bridgeport Times	2576	266755	2020-04-01	1
MM - Massachusetts	Bristol Reporter	2766	266366	2020-04-07	7
MM - New York	Buffalo Ledger	2802	266548	2020-04-03	3
MM - New Jersey	Burlington Review	2510	266662	2020-04-02	2
MM - Vermont	Burlington Standard	2336	266824	2020-04-01	1
MM - Pennsylvania	Butler County News	2108	266862	2020-04-01	1
MM - Ohio	Butler County Today	2216	266497	2020-04-02	2
MM - North Carolina	Cabarrus Today	2141	266525	2020-04-01	1
Metro Business Network	California Business Daily	1635	43990	2019-10-15	126
MM - Pennsylvania	Cambria Times	2106	266338	2020-04-04	4
MM - Massachusetts	Cape Cod Ledger	2768	266578	2020-04-03	3
MM - Missouri	Cape News	2129	266332	2020-04-05	5
MM - New York	Capital District Times	2803	266420	2020-04-03	3
MM - Michigan	Capitol News	1904	266788	2020-04-02	2
MM - Idaho	CDA Reporter	2678	266610	2020-04-02	2
MM - Iowa	Cedar Rapids Today	2046	266280	2020-04-10	10
MM - Colorado	Central Colorado News	2466	266543	2020-04-02	2
MM - Georgia	Central Georgia News	2314	266407	2020-04-11	11
MM - Idaho	Central Idaho Times	2677	266641	2020-04-01	1
MM - Iowa	Central Iowa Times	2060	266376	2020-04-08	8
MM - Louisiana	Central Louisiana News	2589	266411	2020-04-11	11
MM - Missouri	Central Missouri News	2128	266314	2020-04-14	14
MM - Montana	Central Montana Times	2114	266772	2020-04-03	3
MM - North Dakota	Central ND News	2437	266363	2020-04-12	12
MM - Virginia	Central Nova News	2352	266840	2020-04-01	1
MM - Ohio	Central Ohio Today	2231	266485	2020-04-05	5
MM - Oregon	Central Oregon Times	2666	266801	2020-04-01	1
MM - Pennsylvania	Central PA News	2104	266384	2020-04-06	6
MM - Virginia	Central Shenandoah News	2353	266261	2020-04-03	3
MM - South Dakota	Central South Dakota News	2449	266803	2020-04-07	7
MM - Missouri	Central STL News	2137	266596	2020-04-01	1
MM - Utah	Central Utah News	2652	266569	2020-04-02	2
MM - Virginia	Central Virginia Times	2356	266763	2020-04-02	2
MM - Wisconsin	Central Wisconsin News	1877	266642	2020-04-11	11
MM - Wyoming	Central Wyoming News	2389	266529	2020-04-03	3
MM - Texas	Centroplex News	2247	266767	2020-04-08	8
MM - West Virginia	Charleston Leader	2643	266663	2020-04-01	1
MM - South Carolina	Charleston Reporter	2825	266670	2020-04-02	2
MM - California	Chico Times	2743	266630	2020-04-02	2
MM - Wisconsin	Chippewa Valley Times	1885	266584	2020-04-05	5
MM - Ohio	Cincy Reporter	2217	266389	2020-04-05	5
MM - Tennessee	Clarksville Times	2535	266699	2020-04-03	3
MM - Missouri	Clay Co Times	2117	266555	2020-04-02	2
MM - Ohio	Cleveland Reporter	2208	266821	2020-04-01	1
MM - Pennsylvania	Coal Region News	2102	266340	2020-04-03	3
MM - Georgia	Coastal GA News	2315	266774	2020-04-04	4
MM - Georgia	Cobb Reporter	2316	266600	2020-04-02	2
MM - Texas	Collin Times	2258	266353	2020-04-05	5
Metro Business Network	Colorado Business Daily	1636	43997	2019-10-02	48
MM - Missouri	Columbia News	2127	266317	2020-04-05	5
MM - South Carolina	Columbia Standard	2789	266687	2020-04-04	4
MM - Indiana	Columbus Standard	2474	266447	2020-04-04	4
MM - Texas	Concho Valley News	2261	266557	2020-04-11	11
MM - New Hampshire	Concord Ledger	2346	266785	2020-04-02	2
Metro Business Network	Connecticut Business Daily	1637	43980	2019-09-12	28
MM - Texas	Corpus Christi Sun	2271	266761	2020-04-07	7
MM - Pennsylvania	Cumberland Valley News	2098	266560	2020-04-01	1
MM - Minnesota	Dakota Times	2076	266658	2020-04-06	6
MM - Texas	Dallas City Wire	2251	266276	2020-04-15	15
MM - Pennsylvania	Dauphin News	2096	266819	2020-04-03	3
MM - Utah	Davis Times	2653	266855	2020-04-01	1
MM - Alabama	Decatur Times	2546	266749	2020-04-02	2
MM - Georgia	DeKalb GA News	2317	266638	2020-04-02	2
Metro Business Network	Delaware Business Daily	1638	44002	2019-08-27	12
MM - Ohio	Delaware County Review	2230	266470	2020-04-01	1
MM - Colorado	Denver City Wire	2455	266365	2020-04-08	8
MM - Iowa	Des Moines Sun	2052	266808	2020-04-01	1
MM - Maine	Down East Times	2385	266730	2020-04-03	3
MM - Iowa	Dubuque Times	2057	266294	2020-04-06	6
MM - North Carolina	Durham Reporter	2142	266834	2020-04-01	1
MM - Florida	Duval Times	1973	266773	2020-04-01	1
MM - Nevada	Eagle Valley Times	2299	266706	2020-04-01	1
MM - Georgia	East Central Georgia News	2313	266778	2020-04-06	6
MM - Iowa	East Central Iowa News	2055	266387	2020-04-11	11
MM - Texas	East Central Texas News	2280	266780	2020-04-06	6
MM - Texas	East DFW News	2273	266793	2020-04-03	3
MM - New York	East Hudson Valley News	2805	266805	2020-04-04	4
MM - Idaho	East Idaho Times	2679	266751	2020-04-02	2
MM - Indiana	East Indy News	2491	266811	2020-04-01	1
MM - Kentucky	East Kentucky Times	2427	266541	2020-04-04	4
MM - Arkansas	East Little Rock Times	2564	266814	2020-04-03	3
MM - Kentucky	East Louisville News	2431	266453	2020-04-03	3
MM - Michigan	East Michigan News	1896	266594	2020-04-01	1
MM - New Mexico	East New Mexico News	2631	266312	2020-04-08	8
MM - Oklahoma	East OKC News	2776	266587	2020-04-02	2
MM - Florida	East Panhandle News	1999	266692	2020-04-03	3
