Metro Business Network	Alabama Business Daily	1633	51195	2019-10-14	46
Metro Business Network	Alaska Business Daily	1634	51196	2019-10-14	46
MM - Maryland	Anne Arundel Today	1684	310449	2020-06-01	46
Metro Business Network	Arizona Business Daily	1147	51197	2019-10-14	46
Metro Business Network	Arkansas Business Daily	1673	51198	2019-10-14	46
MM - Georgia	ATL Standard	2318	310440	2020-06-01	46
MM - Louisiana	Baton Rouge Reporter	2588	310447	2020-06-01	46
MM - Massachusetts	Bean Town Times	2769	310450	2020-06-01	46
MM - Idaho	Boise City Wire	2676	310442	2020-06-01	46
Metro Business Network	California Business Daily	1635	51199	2019-10-14	46
MM - New York	Capital District Times	2803	310461	2020-06-01	46
MM - Michigan	Capitol News	1904	310451	2020-06-01	46
MM - North Dakota	Central ND News	2437	310463	2020-06-01	46
MM - South Dakota	Central South Dakota News	2449	310469	2020-06-01	46
MM - West Virginia	Charleston Leader	2643	310475	2020-06-01	46
Metro Business Network	Colorado Business Daily	1636	51200	2019-10-14	46
MM - South Carolina	Columbia Standard	2789	310468	2020-06-01	46
MM - New Hampshire	Concord Ledger	2346	310458	2020-06-01	46
Metro Business Network	Connecticut Business Daily	1637	51201	2019-10-14	46
MM - Pennsylvania	Dauphin News	2096	310466	2020-06-01	46
Metro Business Network	Delaware Business Daily	1638	51202	2019-10-14	46
MM - Colorado	Denver City Wire	2455	310436	2020-06-01	46
MM - Iowa	Des Moines Sun	2052	310444	2020-06-01	46
MM - Nevada	Eagle Valley Times	2299	310457	2020-06-01	46
Metro Business Network	Florida Business Daily	1149	51203	2019-10-14	46
Metro Business Network	Georgia Business Daily	1639	51204	2019-10-14	46
MM - Connecticut	Hartford Reporter	2580	310437	2020-06-01	46
Metro Business Network	Hawaii Business Daily	1640	51205	2019-10-14	46
MM - Mississippi	Hinds Today	2611	310453	2020-06-01	46
MM - Hawaii	Honolulu Reporter	2583	310441	2020-06-01	46
Metro Business Network	Idaho Business Daily	1641	51206	2019-10-14	46
Metro Business Network	Illinois Business Daily	1148	51207	2019-10-14	46
Metro Business Network	Indiana Business Daily	1642	51208	2019-10-14	46
MM - Indiana	Indy Standard	2493	310443	2020-06-01	46
Metro Business Network	Iowa Business Daily	1405	51209	2019-10-14	46
MM - Missouri	Jefferson City News	2126	310454	2020-06-01	46
Metro Business Network	Kansas Business Daily	1643	51210	2019-10-14	46
MM - Delaware	Kent County Today	1958	310438	2020-06-01	46
Metro Business Network	Kentucky Business Daily	1644	51211	2019-10-14	46
Metro Business Network	Keystone Business News	655	51212	2019-10-14	46
MM - Tennessee	Knox Times	2520	310470	2020-06-01	46
MM - Michigan	Lansing Sun	1926	310452	2020-06-01	46
Metro Business Network	Louisiana Business Daily	1645	51213	2019-10-14	46
MM - Wisconsin	Madison Reporter	1872	310476	2020-06-01	46
Metro Business Network	Maine Business Daily	1646	51214	2019-10-14	46
Metro Business Network	Maryland Business Daily	1647	51215	2019-10-14	46
Metro Business Network	Massachusetts Business Daily	1648	51216	2019-10-14	46
MM - New Jersey	Mercer Times	2511	310459	2020-06-01	46
Metro Business Network	Michigan Business Daily	1657	51217	2019-10-14	46
MM - Oregon	Mid Valley Reporter	2673	310465	2020-06-01	46
Metro Business Network	Minnesota Business Daily	1649	51218	2019-10-14	46
Metro Business Network	Mississippi Business Daily	1674	51219	2019-10-14	46
Metro Business Network	Missouri Business Daily	1651	51220	2019-10-14	46
Metro Business Network	Montana Business Daily	1652	51221	2019-10-14	46
MM - Vermont	NC Vermont News	2338	310472	2020-06-01	46
Metro Business Network	Nebraska Business Daily	1653	51222	2019-10-14	46
Metro Business Network	Nevada Business Daily	1654	51223	2019-10-14	46
Metro Business Network	New Hampshire Business Daily	1655	51224	2019-10-14	46
Metro Business Network	New Jersey Business Daily	1656	51225	2019-10-14	46
Metro Business Network	New Mexico Business Daily	1658	51226	2019-10-14	46
Metro Business Network	New York Business Daily	1659	51227	2019-10-14	46
MM - Kentucky	North Bluegrass News	2429	310446	2020-06-01	46
Metro Business Network	North Carolina Business Daily	1660	51228	2019-10-14	46
Metro Business Network	North Dakota Business Daily	1599	51229	2019-10-14	46
MM - New York	NYC Gazette	2813	310462	2020-06-01	46
Metro Business Network	Ohio Business Daily	1632	51230	2019-10-14	46
MM - Oklahoma	OKC Standard	2772	310464	2020-06-01	46
Metro Business Network	Oklahoma Business Daily	1661	51231	2019-10-14	46
Metro Business Network	Oregon Business Daily	1662	51232	2019-10-14	46
Metro Business Network	Palmetto Business Daily	1120	51233	2019-10-14	46
MM - Arizona	PHX Reporter	1937	310433	2020-06-01	46
MM - Rhode Island	Providence Reporter	2448	310467	2020-06-01	46
MM - Arkansas	Pulaski Times	2568	310434	2020-06-01	46
Metro Business Network	Rhode Island Business Daily	1663	51234	2019-10-14	46
MM - Alabama	River Region Times	2553	310431	2020-06-01	46
MM - Maine	River Valley Today	2380	310448	2020-06-01	46
MM - California	Sacramento Standard	2746	310435	2020-06-01	46
MM - New Mexico	Santa Fe Standard	2635	310460	2020-06-01	46
MM - Virginia	SC Virginia News	2377	310473	2020-06-01	46
MM - Alaska	SE Alaska News	2398	310432	2020-06-01	46
MM - Nebraska	SE Nebraska News	2628	310456	2020-06-01	46
MM - Wyoming	SE Wyoming News	2392	310477	2020-06-01	46
MM - Utah	SLC Times	2661	310471	2020-06-01	46
Metro Business Network	South Carolina Business Daily	1664	51235	2019-10-14	46
Metro Business Network	South Dakota Business Daily	1600	51236	2019-10-14	46
MM - Washington	South Sound Times	1968	310474	2020-06-01	46
MM - Montana	Southwest Montana News	2122	310455	2020-06-01	46
MM - Florida	Tallahassee Sun	2018	310439	2020-06-01	46
Metro Business Network	Tennessee Business Daily	1675	51237	2019-10-14	46
Metro Business Network	Texas Business Daily	1287	51238	2019-10-14	46
MM - Kansas	Topeka Sun	2404	310445	2020-06-01	46
Metro Business Network	Utah Business Daily	1666	51239	2019-10-14	46
Metro Business Network	Vermont Business Daily	1667	51240	2019-10-14	46
Metro Business Network	Virginia Business Daily	1668	51241	2019-10-14	46
Metro Business Network	Washington Business Daily	1669	51242	2019-10-14	46
Metro Business Network	Washington D.C. Business Daily	1670	51243	2019-10-14	46
Metro Business Network	West Virginia Business Daily	1816	51244	2019-10-14	46
Metro Business Network	Wisconsin Business Daily	1671	51245	2019-10-14	46
Metro Business Network	Wyoming Business Daily	1672	51246	2019-10-14	46
