Metro Business Network	Alabama Business Daily	1633	59062	2020-10-07	139
Metro Business Network	Alaska Business Daily	1634	59063	2020-08-02	24
MM - Maryland	Anne Arundel Today	1684	346410	2020-09-05	48
Metro Business Network	Arizona Business Daily	1147	59064	2020-09-06	84
Metro Business Network	Arkansas Business Daily	1673	59065	2020-08-28	70
MM - Georgia	ATL Standard	2318	346401	2021-01-01	166
MM - Louisiana	Baton Rouge Reporter	2588	346408	2020-11-03	107
MM - Massachusetts	Bean Town Times	2769	346411	2020-10-11	84
MM - Idaho	Boise City Wire	2676	346403	2020-09-29	72
Metro Business Network	California Business Daily	1635	59066	2021-01-14	309
MM - New York	Capital District Times	2803	346422	2020-12-08	142
MM - Michigan	Capitol News	1904	346412	2021-01-03	168
MM - North Dakota	Central ND News	2437	346424	2020-08-23	35
MM - South Dakota	Central South Dakota News	2449	346430	2020-08-12	24
MM - West Virginia	Charleston Leader	2643	346436	2020-09-27	70
Metro Business Network	Colorado Business Daily	1636	59067	2020-09-05	83
MM - South Carolina	Columbia Standard	2789	346429	2020-10-23	96
MM - New Hampshire	Concord Ledger	2346	346419	2020-08-24	36
Metro Business Network	Connecticut Business Daily	1637	59068	2020-08-30	72
MM - Pennsylvania	Dauphin News	2096	346427	2021-01-16	213
Metro Business Network	Delaware Business Daily	1638	59069	2020-08-02	24
MM - Colorado	Denver City Wire	2455	346397	2020-10-10	83
MM - Iowa	Des Moines Sun	2052	346405	2020-10-10	83
MM - Nevada	Eagle Valley Times	2299	346418	2020-08-23	35
Metro Business Network	Florida Business Daily	1149	59071	2020-12-20	263
Metro Business Network	Georgia Business Daily	1639	59072	2020-10-24	166
MM - Connecticut	Hartford Reporter	2580	346398	2020-09-29	72
Metro Business Network	Hawaii Business Daily	1640	59073	2020-08-02	24
MM - Mississippi	Hinds Today	2611	346414	2020-08-23	35
MM - Hawaii	Honolulu Reporter	2583	346402	2020-08-12	24
Metro Business Network	Idaho Business Daily	1641	59074	2020-08-30	72
Metro Business Network	Illinois Business Daily	1148	59075	2020-10-01	129
Metro Business Network	Indiana Business Daily	1642	59076	2020-10-09	142
MM - Indiana	Indy Standard	2493	346404	2020-12-08	142
Metro Business Network	Iowa Business Daily	1405	59077	2020-09-06	83
MM - Missouri	Jefferson City News	2126	346415	2020-10-23	96
Metro Business Network	Kansas Business Daily	1643	59078	2020-08-16	48
MM - Delaware	Kent County Today	1958	346399	2020-08-12	24
Metro Business Network	Kentucky Business Daily	1644	59079	2020-08-22	59
Metro Business Network	Keystone Business News	655	59100	2020-11-21	213
MM - Tennessee	Knox Times	2520	346431	2020-11-16	120
MM - Michigan	Lansing Sun	1926	346413	2021-01-03	168
Metro Business Network	Louisiana Business Daily	1645	59080	2020-09-19	107
MM - Wisconsin	Madison Reporter	1872	346437	2020-12-09	143
Metro Business Network	Maine Business Daily	1646	59081	2020-08-09	36
Metro Business Network	Maryland Business Daily	1647	59082	2020-08-16	48
Metro Business Network	Massachusetts Business Daily	1648	59083	2020-09-06	84
MM - New Jersey	Mercer Times	2511	346420	2020-09-05	48
Metro Business Network	Michigan Business Daily	1657	59084	2020-10-25	168
MM - Oregon	Mid Valley Reporter	2673	346426	2020-10-23	96
Metro Business Network	Minnesota Business Daily	1649	59085	2020-08-23	60
Metro Business Network	Mississippi Business Daily	1674	59086	2020-08-08	35
Metro Business Network	Missouri Business Daily	1651	59087	2020-09-13	96
Metro Business Network	Montana Business Daily	1652	59088	2020-08-09	36
MM - Vermont	NC Vermont News	2338	346433	2020-07-31	12
Metro Business Network	Nebraska Business Daily	1653	59089	2020-08-09	36
Metro Business Network	Nevada Business Daily	1654	59090	2020-08-08	35
Metro Business Network	New Hampshire Business Daily	1655	59091	2020-08-09	36
Metro Business Network	New Jersey Business Daily	1656	59092	2020-08-16	48
Metro Business Network	New Mexico Business Daily	1658	59093	2020-08-15	47
Metro Business Network	New York Business Daily	1659	59094	2020-10-11	142
MM - Kentucky	North Bluegrass News	2429	346407	2020-09-16	59
Metro Business Network	North Carolina Business Daily	1660	59095	2020-10-31	179
Metro Business Network	North Dakota Business Daily	1599	59096	2020-08-09	35
MM - New York	NYC Gazette	2813	346423	2020-12-08	142
Metro Business Network	Ohio Business Daily	1632	59097	2020-10-11	144
MM - Oklahoma	OKC Standard	2772	346425	2020-09-03	46
Metro Business Network	Oklahoma Business Daily	1661	59098	2020-08-14	46
Metro Business Network	Oregon Business Daily	1662	59099	2020-09-13	96
Metro Business Network	Palmetto Business Daily	1120	59102	2020-09-13	96
MM - Arizona	PHX Reporter	1937	346395	2020-10-11	84
MM - Rhode Island	Providence Reporter	2448	346428	2020-07-31	12
MM - Arkansas	Pulaski Times	2568	346396	2020-09-27	70
Metro Business Network	Rhode Island Business Daily	1663	59101	2020-07-26	12
MM - Alabama	River Region Times	2553	346393	2020-12-05	139
MM - Maine	River Valley Today	2380	346409	2020-08-24	36
MM - California	Sacramento Standard	2746	346392	2021-01-16	309
MM - New Mexico	Santa Fe Standard	2635	346421	2020-09-04	47
MM - Virginia	SC Virginia News	2377	346434	2020-11-03	107
MM - Alaska	SE Alaska News	2398	346394	2020-08-12	24
MM - Nebraska	SE Nebraska News	2628	346417	2020-08-24	36
MM - Wyoming	SE Wyoming News	2392	346438	2020-08-11	23
MM - Utah	SLC Times	2661	346432	2020-09-17	60
Metro Business Network	South Dakota Business Daily	1600	59103	2020-08-02	24
MM - Washington	South Sound Times	1968	346435	2020-11-26	130
MM - Montana	Southwest Montana News	2122	346416	2020-08-24	36
MM - Florida	Tallahassee Sun	2018	346400	2021-01-16	263
Metro Business Network	Tennessee Business Daily	1675	59104	2020-09-27	120
Metro Business Network	Texas Business Daily	1287	59105	2021-01-06	296
MM - Kansas	Topeka Sun	2404	346406	2020-09-05	48
Metro Business Network	Utah Business Daily	1666	59106	2020-08-23	60
Metro Business Network	Vermont Business Daily	1667	59107	2020-07-26	12
Metro Business Network	Virginia Business Daily	1668	59108	2020-09-19	107
Metro Business Network	Washington Business Daily	1669	59109	2020-10-02	130
Metro Business Network	Washington D.C. Business Daily	1670	59070	2020-07-26	12
Metro Business Network	West Virginia Business Daily	1816	59110	2020-08-29	70
Metro Business Network	Wisconsin Business Daily	1671	59111	2020-10-10	143
Metro Business Network	Wyoming Business Daily	1672	59112	2020-08-01	23
