Metro Business Network	Alabama Business Daily	1633	89912	2019-10-05	1
Metro Business Network	Alaska Business Daily	1634	89913	2019-10-05	1
MM - Maryland	Anne Arundel Today	1684	346363	2020-07-19	1
Metro Business Network	Arizona Business Daily	1147	89914	2019-10-05	1
Metro Business Network	Arkansas Business Daily	1673	89915	2019-10-05	1
MM - Georgia	ATL Standard	2318	346354	2020-07-19	1
MM - Louisiana	Baton Rouge Reporter	2588	346361	2020-07-19	1
MM - Massachusetts	Bean Town Times	2769	346364	2020-07-19	1
MM - Idaho	Boise City Wire	2676	346356	2020-07-19	1
Metro Business Network	California Business Daily	1635	89916	2019-10-05	1
MM - New York	Capital District Times	2803	346375	2020-07-19	1
MM - Michigan	Capitol News	1904	346365	2020-07-19	1
MM - North Dakota	Central ND News	2437	346377	2020-07-19	1
MM - South Dakota	Central South Dakota News	2449	346383	2020-07-19	1
MM - West Virginia	Charleston Leader	2643	346389	2020-07-19	1
Metro Business Network	Colorado Business Daily	1636	89917	2019-10-05	1
MM - South Carolina	Columbia Standard	2789	346382	2020-07-19	1
MM - New Hampshire	Concord Ledger	2346	346372	2020-07-19	1
Metro Business Network	Connecticut Business Daily	1637	89918	2019-10-05	1
MM - Pennsylvania	Dauphin News	2096	346380	2020-07-19	1
Metro Business Network	Delaware Business Daily	1638	89919	2019-10-05	1
MM - Colorado	Denver City Wire	2455	346350	2020-07-19	1
MM - Iowa	Des Moines Sun	2052	346358	2020-07-19	1
MM - Nevada	Eagle Valley Times	2299	346371	2020-07-19	1
Metro Business Network	Florida Business Daily	1149	89920	2019-10-05	1
Metro Business Network	Georgia Business Daily	1639	89921	2019-10-05	1
MM - Connecticut	Hartford Reporter	2580	346351	2020-07-19	1
Metro Business Network	Hawaii Business Daily	1640	89922	2019-10-05	1
MM - Mississippi	Hinds Today	2611	346367	2020-07-19	1
MM - Hawaii	Honolulu Reporter	2583	346355	2020-07-19	1
Metro Business Network	Idaho Business Daily	1641	89923	2019-10-05	1
Metro Business Network	Illinois Business Daily	1148	89924	2019-10-05	1
Metro Business Network	Indiana Business Daily	1642	89925	2019-10-05	1
MM - Indiana	Indy Standard	2493	346357	2020-07-19	1
Metro Business Network	Iowa Business Daily	1405	89926	2019-10-05	1
MM - Missouri	Jefferson City News	2126	346368	2020-07-19	1
Metro Business Network	Kansas Business Daily	1643	89927	2019-10-05	1
MM - Delaware	Kent County Today	1958	346352	2020-07-19	1
Metro Business Network	Kentucky Business Daily	1644	89928	2019-10-05	1
Metro Business Network	Keystone Business News	655	89949	2019-10-05	1
MM - Tennessee	Knox Times	2520	346384	2020-07-19	1
MM - Michigan	Lansing Sun	1926	346366	2020-07-19	1
Metro Business Network	Louisiana Business Daily	1645	89929	2019-10-05	1
MM - Wisconsin	Madison Reporter	1872	346390	2020-07-19	1
Metro Business Network	Maine Business Daily	1646	89930	2019-10-05	1
Metro Business Network	Maryland Business Daily	1647	89931	2019-10-05	1
Metro Business Network	Massachusetts Business Daily	1648	89932	2019-10-05	1
MM - New Jersey	Mercer Times	2511	346373	2020-07-19	1
Metro Business Network	Michigan Business Daily	1657	89933	2019-10-05	1
MM - Oregon	Mid Valley Reporter	2673	346379	2020-07-19	1
Metro Business Network	Minnesota Business Daily	1649	89934	2019-10-05	1
Metro Business Network	Mississippi Business Daily	1674	89935	2019-10-05	1
Metro Business Network	Missouri Business Daily	1651	89936	2019-10-05	1
Metro Business Network	Montana Business Daily	1652	89937	2019-10-05	1
MM - Vermont	NC Vermont News	2338	346386	2020-07-19	1
Metro Business Network	Nebraska Business Daily	1653	89938	2019-10-05	1
Metro Business Network	Nevada Business Daily	1654	89939	2019-10-05	1
Metro Business Network	New Hampshire Business Daily	1655	89940	2019-10-05	1
Metro Business Network	New Jersey Business Daily	1656	89941	2019-10-05	1
Metro Business Network	New Mexico Business Daily	1658	89942	2019-10-05	1
Metro Business Network	New York Business Daily	1659	89943	2019-10-05	1
MM - Kentucky	North Bluegrass News	2429	346360	2020-07-19	1
Metro Business Network	North Carolina Business Daily	1660	89944	2019-10-05	1
Metro Business Network	North Dakota Business Daily	1599	89945	2019-10-05	1
MM - New York	NYC Gazette	2813	346376	2020-07-19	1
Metro Business Network	Ohio Business Daily	1632	89946	2019-10-05	1
MM - Oklahoma	OKC Standard	2772	346378	2020-07-19	1
Metro Business Network	Oklahoma Business Daily	1661	89947	2019-10-05	1
Metro Business Network	Oregon Business Daily	1662	89948	2019-10-05	1
Metro Business Network	Palmetto Business Daily	1120	89951	2019-10-05	1
MM - Arizona	PHX Reporter	1937	346348	2020-07-19	1
MM - Rhode Island	Providence Reporter	2448	346381	2020-07-19	1
MM - Arkansas	Pulaski Times	2568	346349	2020-07-19	1
Metro Business Network	Rhode Island Business Daily	1663	89950	2019-10-05	1
MM - Alabama	River Region Times	2553	346346	2020-07-19	1
MM - Maine	River Valley Today	2380	346362	2020-07-19	1
MM - California	Sacramento Standard	2746	346345	2020-07-19	1
MM - New Mexico	Santa Fe Standard	2635	346374	2020-07-19	1
MM - Virginia	SC Virginia News	2377	346387	2020-07-19	1
MM - Alaska	SE Alaska News	2398	346347	2020-07-19	1
MM - Nebraska	SE Nebraska News	2628	346370	2020-07-19	1
