Completed construction of South housing units in May decreases over previous month	Alabama Business Daily	https://pipeline.locallabs.com/stories/513990143	2019-10-16 07:35:17	Alabama Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Home construction in the South increases in May	Alabama Business Daily	https://pipeline.locallabs.com/stories/513990142	2019-10-15 07:01:37	Alabama Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
May housing construction in the South increases from previous month	Alabama Business Daily	https://pipeline.locallabs.com/stories/513990141	2019-10-14 10:47:29	Alabama Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Authorization for construction on housing units in the South remains steady in May	Alabama Business Daily	https://pipeline.locallabs.com/stories/513990140	2019-10-13 07:17:49	Alabama Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Construction permits authorized on South housing units in May increases over previous month	Alabama Business Daily	https://pipeline.locallabs.com/stories/513990139	2019-10-12 08:54:43	Alabama Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Completed construction of West housing units in May increases over previous month	Alaska Business Daily	https://pipeline.locallabs.com/stories/513990148	2019-10-16 09:09:05	Alaska Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Home construction in the West increases in May	Alaska Business Daily	https://pipeline.locallabs.com/stories/513990147	2019-10-15 09:50:17	Alaska Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
May housing construction in the West decreases from previous month	Alaska Business Daily	https://pipeline.locallabs.com/stories/513990146	2019-10-14 11:46:32	Alaska Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Authorization for construction on housing units in the West increases in May	Alaska Business Daily	https://pipeline.locallabs.com/stories/513990145	2019-10-13 07:53:07	Alaska Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Construction permits authorized on West housing units in May increases over previous month	Alaska Business Daily	https://pipeline.locallabs.com/stories/513990144	2019-10-12 09:25:26	Alaska Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
May housing construction in the West decreases from previous month	Arizona Business Daily	https://pipeline.locallabs.com/stories/513990151	2019-10-14 11:56:09	Arizona Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Authorization for construction on housing units in the West increases in May	Arizona Business Daily	https://pipeline.locallabs.com/stories/513990150	2019-10-13 08:13:13	Arizona Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Construction permits authorized on West housing units in May increases over previous month	Arizona Business Daily	https://pipeline.locallabs.com/stories/513990149	2019-10-12 09:29:26	Arizona Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Completed construction of West housing units in May increases over previous month	Arizona Business Daily	https://pipeline.locallabs.com/stories/513990153	2019-10-16 09:30:29	Arizona Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Home construction in the West increases in May	Arizona Business Daily	https://pipeline.locallabs.com/stories/513990152	2019-10-15 07:25:39	Arizona Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Home construction in the South increases in May	Arkansas Business Daily	https://pipeline.locallabs.com/stories/513990157	2019-10-15 09:31:19	Arkansas Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
May housing construction in the South increases from previous month	Arkansas Business Daily	https://pipeline.locallabs.com/stories/513990156	2019-10-14 10:58:31	Arkansas Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Authorization for construction on housing units in the South remains steady in May	Arkansas Business Daily	https://pipeline.locallabs.com/stories/513990155	2019-10-13 07:56:30	Arkansas Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Construction permits authorized on South housing units in May increases over previous month	Arkansas Business Daily	https://pipeline.locallabs.com/stories/513990154	2019-10-12 09:10:55	Arkansas Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Completed construction of South housing units in May decreases over previous month	Arkansas Business Daily	https://pipeline.locallabs.com/stories/513990158	2019-10-16 07:48:45	Arkansas Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Construction permits authorized on West housing units in May increases over previous month	California Business Daily	https://pipeline.locallabs.com/stories/513990159	2019-10-12 08:41:25	California Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Completed construction of West housing units in May increases over previous month	California Business Daily	https://pipeline.locallabs.com/stories/513990163	2019-10-16 08:27:48	California Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Home construction in the West increases in May	California Business Daily	https://pipeline.locallabs.com/stories/513990162	2019-10-15 07:34:21	California Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
May housing construction in the West decreases from previous month	California Business Daily	https://pipeline.locallabs.com/stories/513990161	2019-10-14 10:27:14	California Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Authorization for construction on housing units in the West increases in May	California Business Daily	https://pipeline.locallabs.com/stories/513990160	2019-10-13 08:30:31	California Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
Completed construction of West housing units in May increases over previous month	Colorado Business Daily	https://pipeline.locallabs.com/stories/513990168	2019-10-16 09:09:08	Colorado Business Daily - Housing Units by Month and Region Monthly Change HLE	Metro Business Network
