Keystone Business News	15
Palmetto Business Daily	25
Arizona Business Daily	60
Illinois Business Daily	60
Florida Business Daily	65
Texas Business Daily	15
Iowa Business Daily	50
North Dakota Business Daily	20
South Dakota Business Daily	10
Ohio Business Daily	15
Alabama Business Daily	85
Alaska Business Daily	65
California Business Daily	55
Colorado Business Daily	50
Connecticut Business Daily	45
Delaware Business Daily	75
Georgia Business Daily	60
Hawaii Business Daily	45
Idaho Business Daily	40
Indiana Business Daily	55
Kansas Business Daily	45
Kentucky Business Daily	55
Louisiana Business Daily	50
Maine Business Daily	40
Maryland Business Daily	45
Massachusetts Business Daily	35
Minnesota Business Daily	35
Missouri Business Daily	30
Montana Business Daily	35
Nebraska Business Daily	25
Nevada Business Daily	30
New Hampshire Business Daily	30
New Jersey Business Daily	25
Michigan Business Daily	40
New Mexico Business Daily	25
New York Business Daily	20
North Carolina Business Daily	35
Oklahoma Business Daily	30
Oregon Business Daily	20
Rhode Island Business Daily	10
Utah Business Daily	15
Vermont Business Daily	5
Virginia Business Daily	10
Washington Business Daily	10
Washington D.C. Business Daily	70
Wisconsin Business Daily	5
Wyoming Business Daily	5
Arkansas Business Daily	80
Mississippi Business Daily	40
Tennessee Business Daily	20
West Virginia Business Daily	5
