Anne Arundel Today	45
Baltimore City Wire	45
Harford News	45
Howard County News	45
Montgomery News	45
North Baltimore Journal	45
Milwaukee City Wire	5
Milwaukee North News	5
Milwaukee South News	5
Waukesha County News	5
Ozaukee County News	5
Washington County News	5
Southern Wisconsin Times	5
Madison Reporter	5
Green Bay Reporter	5
Racine Sun	5
Kenosha Reporter	5
SW Wisconsin News	5
Central Wisconsin News	5
SC Wisconsin News	5
EC Wisconsin News	5
Fon du Lac News	5
Fox Cities News	5
NC Wisconsin News	5
NE Wisconsin News	5
Whitewater Times	5
Chippewa Valley Times	5
Northwoods Reporter	5
WC Wisconsin News	5
Ann Arbor Times	40
Battle Creek Times	40
Detroit City Wire	40
Downriver Today	40
Western Wayne Today	40
NW Wayne News	40
Eastern Wayne Today	40
East Michigan News	40
Genesee News	40
Holland Reporter	40
Kalamazoo Times	40
North Kent News	40
Grand Rapids Reporter	40
South Kent News	40
SE Grand Rapids News	40
Capitol News	40
Livingston Today	40
Monroe Review	40
Muskegon Sun	40
St. Joe-Benton Harbor News	40
North Michigan News	40
Novi Times	40
Pontiac Times	40
Waterford Today	40
SE Oakland News	40
Shiawassee Times	40
South Michigan News	40
The Warren Sun	40
Shelby Review	40
St. Clair Today	40
Macomb Today	40
Sturgis-Coldwater News	40
Thumb Reporter	40
Tri-City Sun	40
UP Gazette	40
West Central Michigan News	40
Lansing Sun	40
NW Valley Times	60
East King News	10
North King News	10
South King News	10
Pierce Today	10
NE Valley Times	60
SE Valley Times	60
SW Valley Times	60
South Snohomish News	10
PHX Reporter	60
North Snohomish News	10
Tucson Standard	60
Yakima Times	10
North Pima News	60
South Pima News	60
Pinal Today	60
Yavapai News	60
Wenatchee Times	10
Coconino News	60
Mohave Today	60
SE Arizona News	60
Washington Isle News	10
Vancouver Reporter	10
SW Arizona News	60
Tri Cities Reporter	10
East Arizona News	60
South New Castle News	75
North New Castle News	75
Sussex Review	75
Kent County Today	75
Seattle Sounder	10
Spokane Standard	10
Brevard Sun	65
Spokane County Times	10
West Florida News	65
SE Washington News	10
Lee Today	65
Olympic Times	10
Orlando Standard	65
South Sound Times	10
Clay County Times	65
NE Washington News	10
Naples Standard	65
Moses Lake Today	10
Duval Times	65
Kitsap Review	10
East Hillsborough News	65
NW Washington News	10
East Volusia News	65
Emerald Coast Times	65
Hernando Reporter	65
Philly Leader	15
Manatee Review	65
Miami Courant	65
Pinellas Times	65
Nature Coast Times	65
NE Florida News	65
NC Florida News	65
North Lake Times	65
North Pinellas News	65
Ocala Standard	65
South Lancaster News	15
North Orlando News	65
South Orlando News	65
North Lancaster News	15
Palm Coast Times	65
South Chester Today	15
Panama City Reporter	65
Central Chester Today	15
East Panhandle News	65
North Chester Today	15
North Panhandle News	65
Central Bucks Today	15
Pasco Reporter	65
Upper Bucks Today	15
Pensacola Times	65
Lower Bucks Today	15
Polk Times	65
Sarasota Review	65
South Delco News	15
South Lake Today	65
North Delco News	15
South Pinellas Times	65
East Montgomery Times	15
Treasure Coast Sun	65
St. Pete Standard	65
West Montgomery Times	15
Sumter Times	65
Tallahassee Sun	65
Southeast Allegheny News	15
Tampa Republic	65
Southwest Allegheny News	15
West Hillsborough News	65
North Allegheny News	15
West Volusia News	65
Okeechobee Times	65
Key West Reporter	65
North Miami-Dade News	65
Pittsburgh Review	15
South Miami-Dade News	65
Berks County News	15
North Broward News	65
Central Broward News	65
York County News	15
South Broward News	65
Lebanon PA News	15
North Palm Beach Today	65
West Central PA News	15
South Palm Beach Today	65
Westmoreland Review	15
Altoona Times	15
Southwest PA News	15
South Central PA News	15
Ames Today	50
Shenango Valley News	15
Cedar Rapids	50
South DSM News	50
Scranton Reporter	15
West DSM News	50
North DSM News	50
Northwest PA News	15
Des Moines Sun	50
Northhampton News	15
Northern Tier News	15
East Central Iowa News	50
North Pocono News	15
Dubuque Times	50
Waterloo Times	50
Iowa City Today	50
Central Iowa Times	50
NE Iowa News	50
WC Iowa News	50
North Iowa Reporter	50
NW Iowa News	50
River Bend Times	50
Sioux City Times	50
SE Iowa News	50
South Iowa News	50
SW Iowa Times	50
North Central PA Times	15
Monroe County News	15
Lycoming News	15
Luzerne Times	15
Lehigh Times	15
Dakota Times	35
Minneapolis Review	35
North Hennepin News	35
South Hennepin News	35
Anoka Times	35
SE Minnesota News	35
WC Minnesota News	35
St. Paul Reporter	35
St. Cloud Sun	35
Lawrence Times	15
East Twin Cities	35
Laurel Highlands Today	15
North Ramsey News	35
SC Minnesota News	35
SW Minnesota Today	35
NW Twin Cities	35
Happy Valley Times	15
SE Twin Cities	35
West Twin Cities	35
Erie County Times	15
Dauphin News	15
NC Minnesota News	35
Cumberland Valley News	15
Crawford Times	15
NW Minnesota News	35
Coal Region News	15
WC Missouri News	30
Central PA News	15
West STL News	30
Cambria Times	15
Springfield Times	30
Butler County News	15
SE Missouri News	30
SC Missouri News	30
Beaver County News	15
NW Missouri Times	30
NE Missouri News	30
Central Montana Times	35
South KC News	30
Northwest Montana News	35
Clay Co Times	30
Northeast Montana News	35
Platte News	30
Southeast Montana News	35
NE Kansas City News	30
Southwest Montana News	35
SW Missouri News	30
Yellowstone Times	35
Jefferson County Times	30
Jefferson City News	30
Columbia News	30
Central Missouri News	30
Cape News	30
Branson Times	30
KC Reporter	30
SE Kansas City News	30
St. Louis Reporter	30
North STL News	30
South STL News	30
Central STL News	30
St. Charles Times	30
Asheville Reporter	35
Cabarrus Today	35
Durham Reporter	35
EC North Carolina News	35
East Wake Times	35
Foothills Review	35
Burlington Reporter	35
Fayetteville Today	35
Hickory Sun	35
Onslow News	35
Winston Salem Times	35
Gastonia Times	35
Greensboro Reporter	35
Greenville Reporter	35
High Country Times	35
IBX News	35
Johnston Reporter	35
East Lake Norman News	35
West Lake Norman News	35
Nantahala News	35
NE Piedmont News	35
NC North Carolina News	35
North Charlotte News	35
North Guilford News	35
North Iredell News	35
North Raleigh Today	35
North Wake News	35
Chapel Hill Review	35
Outer Banks Times	35
Pinehurst Today	35
Randolph County News	35
Rocky Mount Today	35
Rowan News	35
SE North Carolina News	35
South Asheville News	35
South Charlotte News	35
South Guilford News	35
South Mecklenburg News	35
South North Carolina News	35
South Raleigh News	35
North Triangle News	35
South Triangle News	35
Union News	35
West Wake News	35
South Winston Salem News	35
Yadkin Valley News	35
Akron Reporter	15
North Summit News	15
South Summit News	15
Portage Times	15
East Stark News	15
Canton Reporter	15
West Stark News	15
Tuscarawas News	15
EC Ohio News	15
