MM - Texas	Abilene Times	2241	164332	2020-02-21	770
MM - New Mexico	ABQ Times	2636	164334	2020-02-21	770
MM - Idaho	Ada Reporter	2675	164319	2020-02-21	770
MM - Colorado	Adams County Times	2460	164324	2020-02-21	770
MM - South Carolina	Aiken Times	2787	164294	2020-02-21	770
MM - Ohio	Akron Reporter	2187	164306	2020-02-21	770
Metro Business Network	Alabama Business Daily	1633	164385	2020-02-21	770
Metro Business Network	Alaska Business Daily	1634	164343	2020-02-21	770
MM - Georgia	Albany Standard	2307	164301	2020-02-21	770
MM - West Virginia	Allegheny Highlands Today	2641	164289	2020-02-21	770
MM - Pennsylvania	Altoona Times	2040	164287	2020-02-21	770
MM - Texas	Amarillo Gazette	2243	164425	2020-02-21	770
MM - Iowa	Ames Today	2044	164313	2020-02-21	770
MM - Indiana	Anderson Reporter	2471	164304	2020-02-21	770
MM - Michigan	Ann Arbor Times	1889	164318	2020-02-21	770
MM - Maryland	Anne Arundel Today	1684	164293	2020-02-21	770
MM - Minnesota	Anoka Times	2080	164316	2020-02-21	770
MM - California	Antelope Valley Today	2693	164338	2020-02-21	770
Metro Business Network	Arizona Business Daily	1147	164381	2020-02-21	770
Metro Business Network	Arkansas Business Daily	1673	164371	2020-02-21	770
MM - Maine	Aroostook News	2386	164286	2020-02-21	770
MM - North Carolina	Asheville Reporter	2140	164299	2020-02-21	770
MM - Georgia	Athens Reporter	2335	164390	2020-02-21	770
MM - Georgia	ATL Standard	2318	164457	2020-02-21	770
MM - New Jersey	Atlantic County Times	2514	164291	2020-02-21	770
MM - Alabama	Auburn Times	2541	164302	2020-02-21	770
MM - Texas	Austin News	2249	164472	2020-02-21	770
MM - Alabama	Baldwin Times	2542	164386	2020-02-21	770
MM - Maryland	Baltimore City Wire	1685	164344	2020-02-21	770
MM - Louisiana	Baton Rouge Reporter	2588	164305	2020-02-21	770
MM - Michigan	Battle Creek Times	1890	164392	2020-02-21	770
MM - Massachusetts	Bean Town Times	2769	164296	2020-02-21	770
MM - Pennsylvania	Beaver County News	2111	164370	2020-02-21	770
