MM - Texas	Abilene Times	2241	143354	2020-03-23	746
MM - New Mexico	ABQ Times	2636	143066	2020-03-23	599
MM - Idaho	Ada Reporter	2675	142790	2020-03-23	601
MM - Colorado	Adams County Times	2460	142681	2020-03-23	696
MM - South Carolina	Aiken Times	2787	143275	2020-03-23	665
MM - Ohio	Akron Reporter	2187	143149	2020-03-23	714
Metro Business Network	Alabama Business Daily	1633	142555	2020-03-23	683
Metro Business Network	Alaska Business Daily	1634	142556	2020-03-23	554
MM - Georgia	Albany Standard	2307	142758	2020-03-23	715
MM - West Virginia	Allegheny Highlands Today	2641	143486	2020-03-23	591
MM - Pennsylvania	Altoona Times	2040	143224	2020-03-23	727
MM - Texas	Amarillo Gazette	2243	143356	2020-03-23	746
MM - Iowa	Ames Today	2044	142823	2020-03-23	651
MM - Indiana	Anderson Reporter	2471	142799	2020-03-23	690
MM - Michigan	Ann Arbor Times	1889	142920	2020-03-23	711
MM - Maryland	Anne Arundel Today	1684	142902	2020-03-23	675
MM - Minnesota	Anoka Times	2080	142957	2020-03-23	707
MM - California	Antelope Valley Today	2693	142608	2020-03-23	754
Metro Business Network	Arizona Business Daily	1147	143524	2020-03-23	690
Metro Business Network	Arkansas Business Daily	1673	143525	2020-03-23	667
MM - Maine	Aroostook News	2386	142893	2020-03-23	609
MM - North Carolina	Asheville Reporter	2140	143097	2020-03-23	701
MM - Georgia	Athens Reporter	2335	142759	2020-03-23	715
MM - Georgia	ATL Standard	2318	142760	2020-03-23	715
MM - New Jersey	Atlantic County Times	2514	143045	2020-03-23	706
MM - Alabama	Auburn Times	2541	142554	2020-03-23	683
MM - Texas	Austin News	2249	143358	2020-03-23	746
MM - Alabama	Baldwin Times	2542	142557	2020-03-23	683
MM - Maryland	Baltimore City Wire	1685	142903	2020-03-23	675
MM - Louisiana	Baton Rouge Reporter	2588	142878	2020-03-23	684
MM - Michigan	Battle Creek Times	1890	142921	2020-03-23	711
MM - Massachusetts	Bean Town Times	2769	142908	2020-03-23	703
MM - Pennsylvania	Beaver County News	2111	143225	2020-03-23	727
