MM - Texas	Abilene Times	2241	164079	2019-12-02	1
MM - New Mexico	ABQ Times	2636	163828	2019-12-02	1
MM - Idaho	Ada Reporter	2675	163552	2019-12-02	1
MM - Colorado	Adams County Times	2460	163443	2019-12-02	1
MM - South Carolina	Aiken Times	2787	164037	2019-12-02	1
MM - Ohio	Akron Reporter	2187	163911	2019-12-02	1
Metro Business Network	Alabama Business Daily	1633	163318	2019-12-02	1
Metro Business Network	Alaska Business Daily	1634	164235	2019-12-02	1
MM - Georgia	Albany Standard	2307	163520	2019-12-02	1
MM - West Virginia	Allegheny Highlands Today	2641	164197	2019-12-02	1
MM - Pennsylvania	Altoona Times	2040	163986	2019-12-02	1
MM - Texas	Amarillo Gazette	2243	164080	2019-12-02	1
MM - Iowa	Ames Today	2044	163585	2019-12-02	1
MM - Indiana	Anderson Reporter	2471	163561	2019-12-02	1
MM - Michigan	Ann Arbor Times	1889	163682	2019-12-02	1
MM - Maryland	Anne Arundel Today	1684	163664	2019-12-02	1
MM - Minnesota	Anoka Times	2080	163719	2019-12-02	1
MM - California	Antelope Valley Today	2693	163370	2019-12-02	1
Metro Business Network	Arizona Business Daily	1147	164236	2019-12-02	1
Metro Business Network	Arkansas Business Daily	1673	164237	2019-12-02	1
MM - Maine	Aroostook News	2386	163655	2019-12-02	1
MM - North Carolina	Asheville Reporter	2140	163859	2019-12-02	1
MM - Georgia	Athens Reporter	2335	163521	2019-12-02	1
MM - Georgia	ATL Standard	2318	163522	2019-12-02	1
MM - New Jersey	Atlantic County Times	2514	163807	2019-12-02	1
MM - Alabama	Auburn Times	2541	163317	2019-12-02	1
MM - Texas	Austin News	2249	164081	2019-12-02	1
MM - Alabama	Baldwin Times	2542	163319	2019-12-02	1
MM - Maryland	Baltimore City Wire	1685	163665	2019-12-02	1
MM - Louisiana	Baton Rouge Reporter	2588	163640	2019-12-02	1
MM - Michigan	Battle Creek Times	1890	163683	2019-12-02	1
MM - Massachusetts	Bean Town Times	2769	163670	2019-12-02	1
MM - Pennsylvania	Beaver County News	2111	163987	2019-12-02	1
MM - Arkansas	Benton Times	2604	163357	2019-12-02	1
MM - South Carolina	Berkeley Leader	2788	164038	2019-12-02	1
MM - Pennsylvania	Berks County News	2030	163988	2019-12-02	1
MM - Hawaii	Big Island Times	2584	163548	2019-12-02	1
MM - Indiana	Bloomington Leader	2472	163562	2019-12-02	1
MM - West Virginia	Bluestone News	2642	164198	2019-12-02	1
MM - Idaho	Boise City Wire	2676	163553	2019-12-02	1
MM - Colorado	Boulder Leader	2462	163444	2019-12-02	1
MM - Kentucky	Bowling Green Today	2430	163622	2019-12-02	1
MM - Missouri	Branson Times	2130	163749	2019-12-02	1
MM - Florida	Brevard Sun	1961	163472	2019-12-02	1
MM - Connecticut	Bridgeport Times	2576	163458	2019-12-02	1
MM - Massachusetts	Bristol Reporter	2766	163671	2019-12-02	1
MM - New York	Buffalo Ledger	2802	163837	2019-12-02	1
MM - North Carolina	Burlington Reporter	2146	163860	2019-12-02	1
MM - New Jersey	Burlington Review	2510	163808	2019-12-02	1
MM - Vermont	Burlington Standard	2336	164145	2019-12-02	1
MM - Pennsylvania	Butler County News	2108	163989	2019-12-02	1
MM - Ohio	Butler County Today	2216	163912	2019-12-02	1
MM - North Carolina	Cabarrus Today	2141	163861	2019-12-02	1
Metro Business Network	California Business Daily	1635	164238	2019-12-02	1
MM - Pennsylvania	Cambria Times	2106	163990	2019-12-02	1
MM - Ohio	Canton Reporter	2192	163913	2019-12-02	1
MM - Massachusetts	Cape Cod Ledger	2768	163672	2019-12-02	1
MM - Missouri	Cape News	2129	163750	2019-12-02	1
MM - New York	Capital District Times	2803	163838	2019-12-02	1
MM - Michigan	Capitol News	1904	163684	2019-12-02	1
MM - Idaho	CDA Reporter	2678	163554	2019-12-02	1
MM - Iowa	Cedar Rapids Today	2046	163586	2019-12-02	1
MM - California	Central Alameda News	2756	163371	2019-12-02	1
MM - Florida	Central Broward News	2032	163473	2019-12-02	1
MM - Pennsylvania	Central Bucks Today	2002	163991	2019-12-02	1
MM - Pennsylvania	Central Chester Today	1998	163992	2019-12-02	1
MM - Colorado	Central Colorado News	2466	163445	2019-12-02	1
MM - Georgia	Central Georgia News	2314	163523	2019-12-02	1
MM - Idaho	Central Idaho Times	2677	163555	2019-12-02	1
MM - Iowa	Central Iowa Times	2060	163587	2019-12-02	1
MM - Louisiana	Central Louisiana News	2589	163641	2019-12-02	1
MM - Missouri	Central Missouri News	2128	163751	2019-12-02	1
MM - Montana	Central Montana Times	2114	163774	2019-12-02	1
MM - North Dakota	Central ND News	2437	163906	2019-12-02	1
MM - Virginia	Central Nova News	2352	164150	2019-12-02	1
MM - California	Central OC Times	2706	163372	2019-12-02	1
MM - Ohio	Central Ohio Today	2231	163914	2019-12-02	1
MM - Oregon	Central Oregon Times	2666	163975	2019-12-02	1
MM - Pennsylvania	Central PA News	2104	163993	2019-12-02	1
MM - Virginia	Central Shenandoah News	2353	164151	2019-12-02	1
MM - South Dakota	Central South Dakota News	2449	164052	2019-12-02	1
MM - Missouri	Central STL News	2137	163752	2019-12-02	1
MM - Texas	Central Texas News	2245	164082	2019-12-02	1
MM - Utah	Central Utah News	2652	164135	2019-12-02	1
MM - Virginia	Central Virginia Times	2356	164152	2019-12-02	1
MM - Wisconsin	Central Wisconsin News	1877	164207	2019-12-02	1
MM - Wyoming	Central Wyoming News	2389	164230	2019-12-02	1
MM - Texas	Centroplex News	2247	164083	2019-12-02	1
MM - North Carolina	Chapel Hill Review	2167	163862	2019-12-02	1
MM - West Virginia	Charleston Leader	2643	164199	2019-12-02	1
MM - South Carolina	Charleston Reporter	2825	164039	2019-12-02	1
MM - California	Chico Times	2743	163373	2019-12-02	1
MM - Wisconsin	Chippewa Valley Times	1885	164208	2019-12-02	1
MM - Ohio	Cincy Reporter	2217	163915	2019-12-02	1
MM - Tennessee	Clarksville Times	2535	164057	2019-12-02	1
MM - Missouri	Clay Co Times	2117	163753	2019-12-02	1
MM - Florida	Clay County Times	1969	163474	2019-12-02	1
MM - Ohio	Clermont Times	2220	163916	2019-12-02	1
MM - Ohio	Cleveland Reporter	2208	163917	2019-12-02	1
MM - California	Coachella Today	2719	163374	2019-12-02	1
MM - Pennsylvania	Coal Region News	2102	163994	2019-12-02	1
MM - Georgia	Coastal GA News	2315	163524	2019-12-02	1
MM - Georgia	Cobb Reporter	2316	163525	2019-12-02	1
MM - Arizona	Coconino News	1946	163342	2019-12-02	1
MM - Texas	Collin Times	2258	164084	2019-12-02	1
Metro Business Network	Colorado Business Daily	1636	164239	2019-12-02	1
MM - Missouri	Columbia News	2127	163754	2019-12-02	1
MM - South Carolina	Columbia Standard	2789	164040	2019-12-02	1
MM - Indiana	Columbus Standard	2474	163563	2019-12-02	1
MM - Texas	Concho Valley News	2261	164085	2019-12-02	1
MM - New Hampshire	Concord Ledger	2346	163799	2019-12-02	1
Metro Business Network	Connecticut Business Daily	1637	164240	2019-12-02	1
MM - Texas	Corpus Christi Sun	2271	164086	2019-12-02	1
MM - Pennsylvania	Crawford Times	2099	163995	2019-12-02	1
MM - Pennsylvania	Cumberland Valley News	2098	163996	2019-12-02	1
MM - Minnesota	Dakota Times	2076	163720	2019-12-02	1
MM - Texas	Dallas Republic	2251	164087	2019-12-02	1
MM - New Hampshire	Dartmouth Times	2350	163800	2019-12-02	1
MM - Pennsylvania	Dauphin News	2096	163997	2019-12-02	1
MM - Utah	Davis Times	2653	164136	2019-12-02	1
MM - Ohio	Dayton Reporter	2232	163918	2019-12-02	1
MM - Alabama	Decatur Times	2546	163320	2019-12-02	1
MM - Georgia	DeKalb GA News	2317	163526	2019-12-02	1
Metro Business Network	Delaware Business Daily	1638	164241	2019-12-02	1
MM - Ohio	Delaware County Review	2230	163919	2019-12-02	1
MM - Colorado	Denver City Wire	2455	163446	2019-12-02	1
MM - Iowa	Des Moines Sun	2052	163588	2019-12-02	1
MM - Michigan	Detroit City Wire	1891	163685	2019-12-02	1
MM - South Carolina	Dorchester Today	2790	164041	2019-12-02	1
MM - Maine	Down East Times	2385	163656	2019-12-02	1
MM - Michigan	Downriver Today	1892	163686	2019-12-02	1
MM - Iowa	Dubuque Times	2057	163589	2019-12-02	1
MM - North Carolina	Durham Reporter	2142	163863	2019-12-02	1
MM - Florida	Duval Times	1973	163475	2019-12-02	1
MM - Nevada	Eagle Valley Times	2299	163790	2019-12-02	1
MM - California	East Alameda News	2755	163375	2019-12-02	1
MM - Colorado	East Arapahoe News	2457	163447	2019-12-02	1
MM - Arizona	East Arizona News	1953	163343	2019-12-02	1
MM - Georgia	East Central Georgia News	2313	163527	2019-12-02	1
MM - Iowa	East Central Iowa News	2055	163590	2019-12-02	1
MM - Texas	East Central Texas News	2280	164088	2019-12-02	1
MM - Ohio	East Cleveland News	2209	163920	2019-12-02	1
MM - California	East Contra Costa News	2754	163376	2019-12-02	1
MM - Texas	East DFW News	2273	164089	2019-12-02	1
MM - Florida	East Hillsborough News	1975	163476	2019-12-02	1
MM - Texas	East Houston News	2293	164090	2019-12-02	1
MM - New York	East Hudson Valley News	2805	163839	2019-12-02	1
MM - Idaho	East Idaho Times	2679	163556	2019-12-02	1
MM - Indiana	East Indy News	2491	163564	2019-12-02	1
MM - Kentucky	East Kentucky Times	2427	163623	2019-12-02	1
MM - Washington	East King News	1929	164176	2019-12-02	1
MM - North Carolina	East Lake Norman News	2157	163864	2019-12-02	1
MM - Arkansas	East Little Rock Times	2564	163358	2019-12-02	1
MM - Kentucky	East Louisville News	2431	163624	2019-12-02	1
MM - Michigan	East Michigan News	1896	163687	2019-12-02	1
MM - Pennsylvania	East Montgomery Times	2013	163998	2019-12-02	1
MM - New Mexico	East New Mexico News	2631	163829	2019-12-02	1
MM - Oklahoma	East OKC News	2776	163961	2019-12-02	1
MM - Oregon	East Oregon News	2667	163976	2019-12-02	1
MM - Florida	East Panhandle News	1999	163477	2019-12-02	1
MM - West Virginia	East Panhandle Times	2644	164200	2019-12-02	1
MM - Oregon	East PDX Today	2664	163977	2019-12-02	1
MM - Kentucky	East Pennyroyal News	2423	163625	2019-12-02	1
MM - Texas	East RGV News	2282	164091	2019-12-02	1
MM - California	East San Diego News	2710	163377	2019-12-02	1
MM - California	East SBV Times	2715	163378	2019-12-02	1
MM - California	East SFV Today	2690	163379	2019-12-02	1
MM - California	East Sierra News	2725	163380	2019-12-02	1
MM - Utah	East SLC News	2660	164137	2019-12-02	1
MM - Ohio	East Stark News	2191	163921	2019-12-02	1
MM - Minnesota	East Twin Cities	2086	163721	2019-12-02	1
MM - California	East Ventura News	2685	163381	2019-12-02	1
MM - Florida	East Volusia News	1977	163478	2019-12-02	1
MM - North Carolina	East Wake Times	2144	163865	2019-12-02	1
MM - Kansas	East Wichita Times	2408	163605	2019-12-02	1
MM - Virginia	Eastern Shore Times	2374	164153	2019-12-02	1
MM - Michigan	Eastern Wayne Today	1895	163688	2019-12-02	1
MM - Alabama	EC Alabama News	2547	163321	2019-12-02	1
MM - Indiana	EC Indiana News	2475	163565	2019-12-02	1
MM - Kansas	EC Kansas News	2418	163606	2019-12-02	1
MM - Mississippi	EC Mississippi News	2608	163737	2019-12-02	1
MM - Nebraska	EC Nebraska News	2622	163781	2019-12-02	1
MM - North Carolina	EC North Carolina News	2143	163866	2019-12-02	1
MM - Ohio	EC Ohio News	2195	163922	2019-12-02	1
MM - Oklahoma	EC Oklahoma News	2785	163962	2019-12-02	1
MM - Virginia	EC Virginia News	2358	164154	2019-12-02	1
