Metro Business Network	Alabama Business Daily	1633	158557	2019-11-08	4
Metro Business Network	Alaska Business Daily	1634	158556	2019-11-08	4
MM - Maryland	Anne Arundel Today	1684	158488	2019-11-08	4
Metro Business Network	Arizona Business Daily	1147	158554	2019-11-08	4
Metro Business Network	Arkansas Business Daily	1673	158555	2019-11-08	4
MM - Georgia	ATL Standard	2318	158499	2019-11-08	4
MM - Louisiana	Baton Rouge Reporter	2588	158491	2019-11-08	4
MM - Massachusetts	Bean Town Times	2769	158489	2019-11-08	4
MM - Idaho	Boise City Wire	2676	158496	2019-11-08	4
Metro Business Network	California Business Daily	1635	158553	2019-11-08	4
MM - New York	Capital District Times	2803	158476	2019-11-08	4
MM - Michigan	Capitol News	1904	158486	2019-11-08	4
MM - North Dakota	Central ND News	2437	158475	2019-11-08	4
MM - South Dakota	Central South Dakota News	2449	158469	2019-11-08	4
MM - West Virginia	Charleston Leader	2643	158464	2019-11-08	4
Metro Business Network	Colorado Business Daily	1636	158552	2019-11-08	4
MM - South Carolina	Columbia Standard	2789	158471	2019-11-08	4
MM - New Hampshire	Concord Ledger	2346	158481	2019-11-08	4
Metro Business Network	Connecticut Business Daily	1637	158551	2019-11-08	4
MM - Pennsylvania	Dauphin News	2096	158473	2019-11-08	4
Metro Business Network	Delaware Business Daily	1638	158550	2019-11-08	4
MM - Colorado	Denver City Wire	2455	158502	2019-11-08	4
MM - Iowa	Des Moines Sun	2052	158494	2019-11-08	4
MM - Nevada	Eagle Valley Times	2299	158480	2019-11-08	4
Metro Business Network	Florida Business Daily	1149	158548	2019-11-08	4
Metro Business Network	Georgia Business Daily	1639	158547	2019-11-08	4
MM - Connecticut	Hartford Reporter	2580	158501	2019-11-08	4
Metro Business Network	Hawaii Business Daily	1640	158546	2019-11-08	4
MM - Mississippi	Hinds Today	2611	158485	2019-11-08	4
MM - Hawaii	Honolulu Reporter	2583	158497	2019-11-08	4
Metro Business Network	Idaho Business Daily	1641	158545	2019-11-08	4
Metro Business Network	Illinois Business Daily	1148	158544	2019-11-08	4
Metro Business Network	Indiana Business Daily	1642	158543	2019-11-08	4
MM - Indiana	Indy Standard	2493	158495	2019-11-08	4
Metro Business Network	Iowa Business Daily	1405	158542	2019-11-08	4
MM - Missouri	Jefferson City News	2126	158483	2019-11-08	4
Metro Business Network	Kansas Business Daily	1643	158541	2019-11-08	4
MM - Delaware	Kent County Today	1958	158500	2019-11-08	4
Metro Business Network	Kentucky Business Daily	1644	158540	2019-11-08	4
Metro Business Network	Keystone Business News	655	158520	2019-11-08	4
MM - Tennessee	Knox Times	2520	158460	2019-11-08	4
MM - Michigan	Lansing Sun	1926	158487	2019-11-08	4
Metro Business Network	Louisiana Business Daily	1645	158539	2019-11-08	4
MM - Wisconsin	Madison Reporter	1872	158465	2019-11-08	4
Metro Business Network	Maine Business Daily	1646	158538	2019-11-08	4
Metro Business Network	Maryland Business Daily	1647	158536	2019-11-08	4
Metro Business Network	Massachusetts Business Daily	1648	158537	2019-11-08	4
MM - New Jersey	Mercer Times	2511	158479	2019-11-08	4
Metro Business Network	Michigan Business Daily	1657	158535	2019-11-08	4
MM - Oregon	Mid Valley Reporter	2673	158474	2019-11-08	4
Metro Business Network	Minnesota Business Daily	1649	158534	2019-11-08	4
Metro Business Network	Mississippi Business Daily	1674	158533	2019-11-08	4
Metro Business Network	Missouri Business Daily	1651	158531	2019-11-08	4
Metro Business Network	Montana Business Daily	1652	158532	2019-11-08	4
MM - Vermont	NC Vermont News	2338	158466	2019-11-08	4
Metro Business Network	Nebraska Business Daily	1653	158530	2019-11-08	4
Metro Business Network	Nevada Business Daily	1654	158528	2019-11-08	4
Metro Business Network	New Hampshire Business Daily	1655	158529	2019-11-08	4
Metro Business Network	New Jersey Business Daily	1656	158527	2019-11-08	4
Metro Business Network	New Mexico Business Daily	1658	158525	2019-11-08	4
Metro Business Network	New York Business Daily	1659	158526	2019-11-08	4
MM - Kentucky	North Bluegrass News	2429	158492	2019-11-08	4
Metro Business Network	North Carolina Business Daily	1660	158522	2019-11-08	4
Metro Business Network	North Dakota Business Daily	1599	158524	2019-11-08	4
MM - New York	NYC Gazette	2813	158478	2019-11-08	4
Metro Business Network	Ohio Business Daily	1632	158521	2019-11-08	4
MM - Oklahoma	OKC Standard	2772	158472	2019-11-08	4
Metro Business Network	Oklahoma Business Daily	1661	158519	2019-11-08	4
Metro Business Network	Oregon Business Daily	1662	158523	2019-11-08	4
Metro Business Network	Palmetto Business Daily	1120	158518	2019-11-08	4
MM - Arizona	PHX Reporter	1937	158504	2019-11-08	4
MM - Rhode Island	Providence Reporter	2448	158470	2019-11-08	4
MM - Arkansas	Pulaski Times	2568	158505	2019-11-08	4
Metro Business Network	Rhode Island Business Daily	1663	158517	2019-11-08	4
MM - Alabama	River Region Times	2553	158507	2019-11-08	4
MM - Maine	River Valley Today	2380	158490	2019-11-08	4
MM - California	Sacramento Standard	2746	158503	2019-11-08	4
MM - New Mexico	Santa Fe Standard	2635	158477	2019-11-08	4
MM - Virginia	SC Virginia News	2377	158468	2019-11-08	4
MM - Alaska	SE Alaska News	2398	158506	2019-11-08	4
MM - Nebraska	SE Nebraska News	2628	158482	2019-11-08	4
MM - Wyoming	SE Wyoming News	2392	158467	2019-11-08	4
MM - Utah	SLC Times	2661	158462	2019-11-08	4
Metro Business Network	South Dakota Business Daily	1600	158516	2019-11-08	4
MM - Washington	South Sound Times	1968	158463	2019-11-08	4
MM - Montana	Southwest Montana News	2122	158484	2019-11-08	4
MM - Florida	Tallahassee Sun	2018	158498	2019-11-08	4
Metro Business Network	Tennessee Business Daily	1675	158461	2019-11-08	4
Metro Business Network	Texas Business Daily	1287	158510	2019-11-08	4
MM - Kansas	Topeka Sun	2404	158493	2019-11-08	4
Metro Business Network	Utah Business Daily	1666	158508	2019-11-08	4
Metro Business Network	Vermont Business Daily	1667	158515	2019-11-08	4
Metro Business Network	Virginia Business Daily	1668	158514	2019-11-08	4
Metro Business Network	Washington Business Daily	1669	158511	2019-11-08	4
Metro Business Network	Washington D.C. Business Daily	1670	158549	2019-11-08	4
Metro Business Network	West Virginia Business Daily	1816	158509	2019-11-08	4
Metro Business Network	Wisconsin Business Daily	1671	158513	2019-11-08	4
Metro Business Network	Wyoming Business Daily	1672	158512	2019-11-08	4
