MM - Texas	Abilene Times	2241	185882	2019-11-25	1
MM - New Mexico	ABQ Times	2636	185562	2019-11-25	1
MM - South Carolina	Aiken Times	2787	185603	2019-11-25	1
MM - Ohio	Akron Reporter	2187	185362	2019-11-25	1
Metro Business Network	Alabama Business Daily	1633	185422	2019-11-28	4
Metro Business Network	Alaska Business Daily	1634	185905	2019-11-25	1
MM - Georgia	Albany Standard	2307	185670	2019-11-25	1
MM - West Virginia	Allegheny Highlands Today	2641	185707	2019-11-27	3
MM - Pennsylvania	Altoona Times	2040	185805	2019-11-25	1
MM - Texas	Amarillo Gazette	2243	185786	2019-11-25	1
MM - Michigan	Ann Arbor Times	1889	185582	2019-11-25	1
MM - Maryland	Anne Arundel Today	1684	185667	2019-11-25	1
MM - Minnesota	Anoka Times	2080	185477	2019-11-25	1
Metro Business Network	Arizona Business Daily	1147	185400	2019-11-27	3
Metro Business Network	Arkansas Business Daily	1673	185436	2019-11-29	5
MM - Maine	Aroostook News	2386	185697	2019-11-25	1
MM - North Carolina	Asheville Reporter	2140	185552	2019-11-25	1
MM - New Jersey	Atlantic County Times	2514	185758	2019-11-25	1
MM - Alabama	Auburn Times	2541	185616	2019-11-25	1
MM - Maryland	Baltimore City Wire	1685	185666	2019-11-25	1
MM - Louisiana	Baton Rouge Reporter	2588	185489	2019-11-25	1
MM - Michigan	Battle Creek Times	1890	185715	2019-11-25	1
MM - Massachusetts	Bean Town Times	2769	185516	2019-11-25	1
MM - Pennsylvania	Beaver County News	2111	185469	2019-11-25	1
MM - South Carolina	Berkeley Leader	2788	185448	2019-11-25	1
MM - Pennsylvania	Berks County News	2030	185577	2019-11-25	1
MM - Hawaii	Big Island Times	2584	185796	2019-11-25	1
MM - Indiana	Bloomington Leader	2472	185593	2019-11-25	1
MM - West Virginia	Bluestone News	2642	185875	2019-11-25	1
MM - Idaho	Boise City Wire	2676	185848	2019-11-25	1
MM - Kentucky	Bowling Green Today	2430	185373	2019-11-25	1
MM - Missouri	Branson Times	2130	185657	2019-11-25	1
MM - Massachusetts	Bristol Reporter	2766	185614	2019-11-25	1
MM - New York	Buffalo Ledger	2802	185620	2019-11-25	1
MM - New Jersey	Burlington Review	2510	185502	2019-11-25	1
MM - Vermont	Burlington Standard	2336	185819	2019-11-25	1
MM - Pennsylvania	Butler County News	2108	185876	2019-11-25	1
MM - Ohio	Butler County Today	2216	185684	2019-11-25	1
MM - North Carolina	Cabarrus Today	2141	185532	2019-11-25	1
Metro Business Network	California Business Daily	1635	185411	2019-12-03	9
MM - Pennsylvania	Cambria Times	2106	185806	2019-11-25	1
MM - Missouri	Cape News	2129	185864	2019-11-25	1
MM - New York	Capital District Times	2803	185724	2019-11-25	1
MM - Michigan	Capitol News	1904	185717	2019-11-25	1
MM - Idaho	CDA Reporter	2678	185869	2019-11-25	1
MM - Iowa	Cedar Rapids Today	2046	185763	2019-11-25	1
MM - Colorado	Central Colorado News	2466	185484	2019-11-25	1
MM - Georgia	Central Georgia News	2314	185668	2019-11-25	1
MM - Idaho	Central Idaho Times	2677	185852	2019-11-25	1
MM - Iowa	Central Iowa Times	2060	185857	2019-11-25	1
MM - Louisiana	Central Louisiana News	2589	185749	2019-11-25	1
MM - Missouri	Central Missouri News	2128	185600	2019-11-26	2
MM - Montana	Central Montana Times	2114	185778	2019-11-25	1
MM - North Dakota	Central ND News	2437	185838	2019-11-25	1
MM - Ohio	Central Ohio Today	2231	185687	2019-11-25	1
MM - Oregon	Central Oregon Times	2666	185524	2019-11-26	2
MM - Virginia	Central Shenandoah News	2353	185611	2019-11-26	2
MM - South Dakota	Central South Dakota News	2449	185897	2019-11-25	1
MM - Utah	Central Utah News	2652	185634	2019-11-26	2
MM - Virginia	Central Virginia Times	2356	185415	2019-11-25	1
MM - Wisconsin	Central Wisconsin News	1877	185862	2019-11-25	1
MM - Wyoming	Central Wyoming News	2389	185889	2019-11-26	2
MM - Texas	Centroplex News	2247	185354	2019-11-25	1
MM - West Virginia	Charleston Leader	2643	185714	2019-11-25	1
MM - South Carolina	Charleston Reporter	2825	185449	2019-11-25	1
MM - California	Chico Times	2743	185434	2019-11-25	1
MM - Wisconsin	Chippewa Valley Times	1885	185474	2019-11-25	1
MM - Ohio	Cincy Reporter	2217	185604	2019-11-25	1
MM - Tennessee	Clarksville Times	2535	185371	2019-11-25	1
MM - Missouri	Clay Co Times	2117	185640	2019-11-25	1
MM - Ohio	Cleveland Reporter	2208	185358	2019-11-25	1
MM - Pennsylvania	Coal Region News	2102	185579	2019-11-25	1
MM - Georgia	Coastal GA News	2315	185333	2019-11-27	3
MM - Georgia	Cobb Reporter	2316	185339	2019-11-25	1
MM - Arizona	Coconino News	1946	185873	2019-11-25	1
Metro Business Network	Colorado Business Daily	1636	185479	2019-11-28	4
MM - Missouri	Columbia News	2127	185597	2019-11-25	1
MM - South Carolina	Columbia Standard	2789	185393	2019-11-25	1
MM - Texas	Concho Valley News	2261	185883	2019-11-25	1
Metro Business Network	Connecticut Business Daily	1637	185539	2019-11-25	1
MM - Texas	Corpus Christi Sun	2271	185722	2019-11-25	1
MM - Pennsylvania	Crawford Times	2099	185843	2019-11-25	1
MM - Pennsylvania	Cumberland Valley News	2098	185576	2019-11-25	1
MM - Texas	Dallas Republic	2251	185348	2019-11-25	1
MM - Ohio	Dayton Reporter	2232	185683	2019-11-25	1
Metro Business Network	Delaware Business Daily	1638	185754	2019-11-25	1
MM - Colorado	Denver City Wire	2455	185480	2019-11-25	1
MM - Iowa	Des Moines Sun	2052	185854	2019-11-25	1
MM - Michigan	Detroit City Wire	1891	185590	2019-11-25	1
MM - Maine	Down East Times	2385	185698	2019-11-25	1
MM - Iowa	Dubuque Times	2057	185762	2019-11-25	1
MM - North Carolina	Durham Reporter	2142	185417	2019-11-25	1
MM - Florida	Duval Times	1973	185326	2019-11-25	1
MM - Nevada	Eagle Valley Times	2299	185803	2019-11-25	1
MM - Arizona	East Arizona News	1953	185402	2019-11-26	2
MM - Iowa	East Central Iowa News	2055	185856	2019-11-25	1
MM - Texas	East Central Texas News	2280	185355	2019-11-25	1
MM - Texas	East DFW News	2273	185351	2019-11-25	1
MM - New York	East Hudson Valley News	2805	185846	2019-11-25	1
