MM - Michigan	Ann Arbor Times	1889	207396	2019-12-28	3
Metro Business Network	Arizona Business Daily	1147	207381	2019-12-27	2
MM - Michigan	Battle Creek Times	1890	207412	2019-12-26	1
Metro Business Network	California Business Daily	1635	207380	2020-01-01	7
MM - Michigan	Capitol News	1904	207406	2019-12-27	2
Metro Business Network	Colorado Business Daily	1636	207375	2020-01-01	7
Metro Business Network	Connecticut Business Daily	1637	207384	2019-12-26	1
MM - Michigan	Detroit City Wire	1891	207395	2019-12-26	1
MM - Michigan	East Michigan News	1896	207399	2019-12-27	2
MM - Michigan	Eastern Wayne Today	1895	207409	2019-12-27	2
Metro Business Network	Florida Business Daily	1149	207365	2020-01-03	9
MM - Michigan	Genesee News	1897	207401	2019-12-28	3
Metro Business Network	Georgia Business Daily	1639	207383	2019-12-29	4
MM - Michigan	Holland Reporter	1898	207402	2019-12-26	1
Metro Business Network	Idaho Business Daily	1641	207388	2019-12-27	2
Metro Business Network	Illinois Business Daily	1148	207373	2019-12-31	6
Metro Business Network	Indiana Business Daily	1642	207376	2019-12-30	5
Metro Business Network	Iowa Business Daily	1405	207379	2019-12-26	1
MM - Michigan	Kalamazoo Times	1899	207398	2019-12-27	2
Metro Business Network	Kansas Business Daily	1643	207371	2019-12-27	2
Metro Business Network	Kentucky Business Daily	1644	207392	2019-12-26	1
Metro Business Network	Keystone Business News	655	207368	2019-12-29	4
MM - Michigan	Lansing Sun	1926	207407	2019-12-27	2
MM - Michigan	Livingston Today	1905	207362	2019-12-27	2
Metro Business Network	Maine Business Daily	1646	207387	2019-12-26	1
Metro Business Network	Maryland Business Daily	1647	207391	2019-12-27	2
Metro Business Network	Michigan Business Daily	1657	207361	2020-01-25	48
Metro Business Network	Minnesota Business Daily	1649	207374	2020-01-01	7
Metro Business Network	Missouri Business Daily	1651	207389	2019-12-26	1
MM - Michigan	Monroe Review	1906	207404	2019-12-26	1
Metro Business Network	Montana Business Daily	1652	207378	2019-12-26	1
MM - Michigan	Muskegon Sun	1907	207403	2019-12-26	1
Metro Business Network	Nebraska Business Daily	1653	207370	2019-12-27	2
Metro Business Network	Nevada Business Daily	1654	207385	2019-12-27	2
Metro Business Network	New Mexico Business Daily	1658	207394	2019-12-26	1
Metro Business Network	New York Business Daily	1659	207364	2019-12-28	3
Metro Business Network	North Carolina Business Daily	1660	207377	2019-12-27	2
MM - Michigan	North Michigan News	1909	207411	2019-12-27	2
Metro Business Network	Ohio Business Daily	1632	207369	2020-01-02	8
Metro Business Network	Oklahoma Business Daily	1661	207372	2019-12-28	3
Metro Business Network	Oregon Business Daily	1662	207386	2019-12-26	1
Metro Business Network	Palmetto Business Daily	1120	207382	2019-12-26	1
MM - Michigan	South Michigan News	1915	207400	2019-12-27	2
MM - Michigan	St. Joe-Benton Harbor News	1908	207397	2019-12-26	1
Metro Business Network	Texas Business Daily	1287	207367	2020-01-06	12
MM - Michigan	Tri-City Sun	1922	207405	2019-12-27	2
MM - Michigan	UP Gazette	1923	207408	2019-12-26	1
Metro Business Network	Utah Business Daily	1666	207390	2019-12-27	2
Metro Business Network	Washington Business Daily	1669	207366	2019-12-29	4
MM - Michigan	West Central Michigan News	1924	207410	2019-12-26	1
Metro Business Network	West Virginia Business Daily	1816	207393	2019-12-26	1
Metro Business Network	Wisconsin Business Daily	1671	207363	2020-01-02	8
