One professional engineer license issued in zip code 35643 in Q2 of 2019	Alabama Business Daily	https://pipeline.locallabs.com/stories/521042756	2019-12-19 06:08:19	Alabama Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
Two real estate licenses issued in zip code 48108 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042774	2019-12-31 07:01:34	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
15 real estate licenses issued in zip code 48103 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042773	2019-12-29 08:53:56	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Three real estate licenses issued in zip code 48130 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042772	2020-01-02 08:42:01	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Three real estate licenses issued in zip code 48118 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042771	2020-01-01 06:41:47	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One real estate license issued in zip code 48160 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042770	2020-01-03 07:15:17	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One accountancy license issued in zip code 48130 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042785	2019-12-20 06:26:45	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One real estate license issued in zip code 48198 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042769	2020-01-06 09:52:53	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One accountancy license issued in zip code 48108 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042784	2019-12-19 08:34:59	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One security guard license issued in zip code 48104 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042768	2020-01-07 07:55:37	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One accountancy license issued in zip code 48160 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042783	2019-12-21 07:59:42	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Seven real estate licenses issued in zip code 48197 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042767	2020-01-05 08:46:56	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Two landscape architect licenses issued in zip code 48103 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042782	2019-12-23 09:08:56	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Three real estate licenses issued in zip code 48176 in Q2 of 2019	Ann Arbor Times	https://pipeline.locallabs.com/stories/521042766	2020-01-04 08:00:27	Ann Arbor Times - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
