Metro Business Network	Alabama Business Daily	1633	205845	2019-12-19	1
MM - Michigan	Ann Arbor Times	1889	205807	2020-01-07	20
Metro Business Network	Arizona Business Daily	1147	205838	2019-12-21	3
Metro Business Network	Arkansas Business Daily	1673	205847	2019-12-19	1
MM - Michigan	Battle Creek Times	1890	205869	2019-12-24	6
Metro Business Network	California Business Daily	1635	205818	2020-01-05	18
MM - Michigan	Capitol News	1904	205857	2020-01-26	39
Metro Business Network	Colorado Business Daily	1636	205834	2019-12-30	12
Metro Business Network	Connecticut Business Daily	1637	205820	2019-12-19	1
Metro Business Network	Delaware Business Daily	1638	205843	2019-12-19	1
MM - Michigan	Detroit City Wire	1891	205852	2020-01-15	28
MM - Michigan	East Michigan News	1896	205860	2019-12-29	11
MM - Michigan	Eastern Wayne Today	1895	205851	2019-12-27	9
Metro Business Network	Florida Business Daily	1149	205826	2020-01-06	19
MM - Michigan	Genesee News	1897	205854	2020-01-16	29
Metro Business Network	Georgia Business Daily	1639	205825	2019-12-25	7
MM - Michigan	Holland Reporter	1898	205862	2020-01-13	26
Metro Business Network	Idaho Business Daily	1641	205835	2019-12-21	3
Metro Business Network	Illinois Business Daily	1148	205814	2020-02-02	46
Metro Business Network	Indiana Business Daily	1642	205811	2020-01-13	26
Metro Business Network	Iowa Business Daily	1405	205829	2019-12-24	6
MM - Michigan	Kalamazoo Times	1899	205861	2020-01-09	22
Metro Business Network	Kansas Business Daily	1643	205846	2019-12-25	7
Metro Business Network	Kentucky Business Daily	1644	205828	2019-12-21	3
Metro Business Network	Keystone Business News	655	205822	2020-01-04	17
MM - Michigan	Lansing Sun	1926	205858	2020-01-26	39
MM - Michigan	Livingston Today	1905	205859	2019-12-31	13
Metro Business Network	Louisiana Business Daily	1645	205832	2019-12-21	3
Metro Business Network	Maine Business Daily	1646	205842	2019-12-19	1
Metro Business Network	Maryland Business Daily	1647	205823	2019-12-22	4
Metro Business Network	Massachusetts Business Daily	1648	205819	2019-12-21	3
Metro Business Network	Michigan Business Daily	1657	205812	2020-03-08	766
Metro Business Network	Minnesota Business Daily	1649	205830	2020-01-07	20
Metro Business Network	Missouri Business Daily	1651	205815	2019-12-27	9
MM - Michigan	Monroe Review	1906	205866	2019-12-27	9
Metro Business Network	Montana Business Daily	1652	205840	2019-12-19	1
MM - Michigan	Muskegon Sun	1907	205871	2019-12-27	9
Metro Business Network	Nebraska Business Daily	1653	205831	2019-12-22	4
Metro Business Network	Nevada Business Daily	1654	205839	2019-12-23	5
Metro Business Network	New Hampshire Business Daily	1655	205837	2019-12-19	1
Metro Business Network	New Jersey Business Daily	1656	205806	2019-12-26	8
Metro Business Network	New Mexico Business Daily	1658	205850	2019-12-19	1
Metro Business Network	New York Business Daily	1659	205821	2020-01-04	17
Metro Business Network	North Carolina Business Daily	1660	205824	2019-12-28	10
Metro Business Network	North Dakota Business Daily	1599	205849	2019-12-19	1
MM - Michigan	North Michigan News	1909	205856	2020-02-25	69
Metro Business Network	Ohio Business Daily	1632	205810	2020-01-24	37
Metro Business Network	Oklahoma Business Daily	1661	205833	2019-12-19	1
Metro Business Network	Oregon Business Daily	1662	205841	2019-12-22	4
Metro Business Network	Palmetto Business Daily	1120	205809	2019-12-21	3
MM - Michigan	SE Grand Rapids News	1903	205870	2019-12-29	11
MM - Michigan	Shiawassee Times	1914	205868	2019-12-26	8
Metro Business Network	South Dakota Business Daily	1600	205848	2019-12-19	1
MM - Michigan	South Michigan News	1915	205865	2020-01-06	19
MM - Michigan	St. Joe-Benton Harbor News	1908	205863	2020-01-11	24
MM - Michigan	Sturgis-Coldwater News	1920	205872	2019-12-24	6
Metro Business Network	Tennessee Business Daily	1675	205827	2019-12-26	8
Metro Business Network	Texas Business Daily	1287	205816	2020-01-18	31
MM - Michigan	Thumb Reporter	1921	205853	2020-01-16	29
MM - Michigan	Tri-City Sun	1922	205855	2020-01-18	31
MM - Michigan	UP Gazette	1923	205864	2020-01-16	29
Metro Business Network	Utah Business Daily	1666	205817	2019-12-21	3
Metro Business Network	Virginia Business Daily	1668	205808	2019-12-27	9
Metro Business Network	Washington Business Daily	1669	205836	2019-12-21	3
MM - Michigan	West Central Michigan News	1924	205867	2019-12-30	12
Metro Business Network	West Virginia Business Daily	1816	205844	2019-12-19	1
Metro Business Network	Wisconsin Business Daily	1671	205813	2020-01-05	18
