MM - Texas	Abilene Times	2241	219627	2020-01-21	4
Metro Business Network	Alabama Business Daily	1633	219594	2020-01-25	8
Metro Business Network	Alaska Business Daily	1634	219575	2020-02-02	16
MM - Texas	Amarillo Gazette	2243	219616	2020-01-20	3
Metro Business Network	Arkansas Business Daily	1673	219591	2020-02-20	34
Metro Business Network	California Business Daily	1635	219595	2020-01-29	12
MM - Texas	Centroplex News	2247	219618	2020-01-28	11
MM - Texas	Collin Times	2258	219612	2020-02-05	19
MM - Texas	Concho Valley News	2261	219624	2020-01-18	1
MM - Texas	Corpus Christi Sun	2271	219635	2020-01-29	12
MM - Texas	Dallas Republic	2251	219611	2020-01-27	10
MM - Texas	East Central Texas News	2280	219641	2020-01-22	5
MM - Texas	East DFW News	2273	219629	2020-01-24	7
MM - Texas	East RGV News	2282	219620	2020-01-23	6
Metro Business Network	Florida Business Daily	1149	219581	2020-02-03	17
MM - Texas	Forest Country News	2263	219632	2020-01-19	2
MM - Texas	Ft Worth Times	2253	219613	2020-01-25	8
Metro Business Network	Georgia Business Daily	1639	219583	2020-02-24	38
MM - Texas	Grayson Times	2291	219623	2020-01-22	5
MM - Texas	Hill Country Chronicle	2250	219634	2020-01-24	7
MM - Texas	Houston Republic	2255	219576	2020-02-02	16
Metro Business Network	Idaho Business Daily	1641	219593	2020-01-30	13
Metro Business Network	Illinois Business Daily	1148	219585	2020-02-17	31
Metro Business Network	Indiana Business Daily	1642	219592	2020-02-06	20
Metro Business Network	Iowa Business Daily	1405	219586	2020-02-17	31
Metro Business Network	Kansas Business Daily	1643	219587	2020-02-25	39
Metro Business Network	Kentucky Business Daily	1644	219588	2020-02-18	32
MM - Texas	Laredo Times	2288	219626	2020-01-21	4
MM - Texas	Longview Times	2287	219633	2020-01-21	4
Metro Business Network	Louisiana Business Daily	1645	219603	2020-01-19	2
MM - Texas	Lubbock Times	2286	219614	2020-01-21	4
Metro Business Network	Maine Business Daily	1646	219606	2020-01-18	1
Metro Business Network	Michigan Business Daily	1657	219596	2020-01-24	7
Metro Business Network	Minnesota Business Daily	1649	219577	2020-03-25	68
Metro Business Network	Mississippi Business Daily	1674	219578	2020-02-05	19
Metro Business Network	Missouri Business Daily	1651	219579	2020-02-29	43
Metro Business Network	Nebraska Business Daily	1653	219608	2020-01-20	3
Metro Business Network	Nevada Business Daily	1654	219600	2020-01-23	6
MM - Texas	Nortex Times	2281	219621	2020-01-22	5
Metro Business Network	North Carolina Business Daily	1660	219609	2020-01-18	1
MM - Texas	North Coastal News	2296	219615	2020-01-25	8
Metro Business Network	North Dakota Business Daily	1599	219607	2020-01-23	6
Metro Business Network	Ohio Business Daily	1632	219599	2020-01-30	13
Metro Business Network	Oklahoma Business Daily	1661	219604	2020-01-20	3
Metro Business Network	Oregon Business Daily	1662	219584	2020-02-11	25
Metro Business Network	Palmetto Business Daily	1120	219598	2020-01-20	3
MM - Texas	Panhandle Times	2260	219642	2020-01-20	3
MM - Texas	Petroplex News	2276	219619	2020-01-25	8
MM - Texas	San Antonio Corridor News	2290	219617	2020-01-22	5
MM - Texas	San Antonio Standard	2257	219610	2020-01-28	11
MM - Texas	SC Texas News	2268	219637	2020-01-23	6
MM - Texas	SE Texas Times	2270	219631	2020-01-22	5
Metro Business Network	South Dakota Business Daily	1600	219589	2020-01-30	13
Metro Business Network	Tennessee Business Daily	1675	219601	2020-02-01	15
Metro Business Network	Texas Business Daily	1287	219580	2020-03-30	435
MM - Texas	Tyler Reporter	2259	219628	2020-01-20	3
MM - Texas	Upper East Texas News	2256	219638	2020-01-21	4
Metro Business Network	Utah Business Daily	1666	219582	2020-01-26	9
Metro Business Network	Virginia Business Daily	1668	219597	2020-01-21	4
MM - Texas	Waco Reporter	2254	219622	2020-01-21	4
Metro Business Network	Washington Business Daily	1669	219590	2020-01-30	13
MM - Texas	WC Texas News	2252	219630	2020-01-21	4
MM - Texas	West DFW News	2278	219636	2020-01-21	4
MM - Texas	West RGV News	2248	219625	2020-01-31	14
MM - Texas	West Texas News	2246	219640	2020-01-19	2
Metro Business Network	West Virginia Business Daily	1816	219602	2020-01-22	5
MM - Texas	Winter Garden Today	2242	219639	2020-01-19	2
Metro Business Network	Wisconsin Business Daily	1671	219605	2020-01-18	1
