MM - Texas	Abilene Times	2241	216480	2020-01-20	1
Metro Business Network	Alabama Business Daily	1633	216445	2020-01-28	9
Metro Business Network	Alaska Business Daily	1634	216414	2020-01-21	2
MM - Texas	Amarillo Gazette	2243	216460	2020-01-20	1
Metro Business Network	Arkansas Business Daily	1673	216423	2020-02-01	13
Metro Business Network	California Business Daily	1635	216427	2020-01-29	10
MM - Texas	Centroplex News	2247	216473	2020-01-21	2
MM - Texas	Collin Times	2258	216466	2020-01-24	5
Metro Business Network	Colorado Business Daily	1636	216452	2020-01-20	1
MM - Texas	Concho Valley News	2261	216476	2020-01-20	1
MM - Texas	Corpus Christi Sun	2271	216459	2020-01-26	7
MM - Texas	Dallas Republic	2251	216456	2020-01-20	1
MM - Texas	East Central Texas News	2280	216479	2020-01-23	4
MM - Texas	East DFW News	2273	216478	2020-01-23	4
MM - Texas	East RGV News	2282	216470	2020-01-24	5
MM - Texas	El Paso Standard	2285	216488	2020-01-20	1
MM - Texas	Far West Texas News	2289	216489	2020-01-21	2
Metro Business Network	Florida Business Daily	1149	216420	2020-01-24	5
MM - Texas	Forest Country News	2263	216477	2020-01-25	6
MM - Texas	Ft Worth Times	2253	216457	2020-01-20	1
Metro Business Network	Georgia Business Daily	1639	216421	2020-02-05	17
MM - Texas	Grayson Times	2291	216468	2020-01-22	3
MM - Texas	Hill Country Chronicle	2250	216475	2020-01-23	4
MM - Texas	Houston Republic	2255	216415	2020-01-20	1
Metro Business Network	Idaho Business Daily	1641	216434	2020-01-25	6
Metro Business Network	Illinois Business Daily	1148	216425	2020-02-01	13
Metro Business Network	Indiana Business Daily	1642	216424	2020-01-28	9
Metro Business Network	Iowa Business Daily	1405	216426	2020-02-08	20
Metro Business Network	Kansas Business Daily	1643	216429	2020-02-11	23
Metro Business Network	Kentucky Business Daily	1644	216430	2020-02-04	16
Metro Business Network	Keystone Business News	655	216447	2020-01-20	1
MM - Texas	Laredo Times	2288	216462	2020-01-20	1
MM - Texas	Longview Times	2287	216472	2020-01-24	5
Metro Business Network	Louisiana Business Daily	1645	216439	2020-01-20	1
MM - Texas	Lubbock Times	2286	216461	2020-01-20	1
Metro Business Network	Maine Business Daily	1646	216443	2020-01-20	1
Metro Business Network	Michigan Business Daily	1657	216433	2020-01-24	5
Metro Business Network	Minnesota Business Daily	1649	216416	2020-02-17	29
Metro Business Network	Mississippi Business Daily	1674	216417	2020-01-28	9
Metro Business Network	Missouri Business Daily	1651	216418	2020-02-10	22
Metro Business Network	Montana Business Daily	1652	216450	2020-01-20	1
Metro Business Network	Nebraska Business Daily	1653	216442	2020-01-25	6
Metro Business Network	Nevada Business Daily	1654	216438	2020-01-21	2
Metro Business Network	New Mexico Business Daily	1658	216451	2020-01-20	1
Metro Business Network	New York Business Daily	1659	216453	2020-01-20	1
MM - Texas	Nortex Times	2281	216487	2020-01-23	4
Metro Business Network	North Carolina Business Daily	1660	216444	2020-01-23	4
MM - Texas	North Coastal News	2296	216471	2020-01-22	3
Metro Business Network	North Dakota Business Daily	1599	216437	2020-01-31	12
Metro Business Network	Ohio Business Daily	1632	216440	2020-01-30	11
Metro Business Network	Oklahoma Business Daily	1661	216436	2020-01-25	6
Metro Business Network	Oregon Business Daily	1662	216422	2020-01-27	8
Metro Business Network	Palmetto Business Daily	1120	216435	2020-01-22	3
MM - Texas	Panhandle Times	2260	216481	2020-01-28	9
MM - Texas	Petroplex News	2276	216463	2020-01-23	4
MM - Texas	San Antonio Corridor News	2290	216483	2020-01-26	7
MM - Texas	San Antonio Standard	2257	216455	2020-01-20	1
MM - Texas	SC Texas News	2268	216486	2020-01-26	7
MM - Texas	SE Texas Times	2270	216474	2020-01-25	6
Metro Business Network	South Dakota Business Daily	1600	216431	2020-01-23	4
Metro Business Network	Tennessee Business Daily	1675	216441	2020-01-29	10
Metro Business Network	Texas Business Daily	1287	216419	2020-03-10	236
MM - Texas	Tyler Reporter	2259	216467	2020-01-22	3
MM - Texas	Upper East Texas News	2256	216482	2020-01-22	3
Metro Business Network	Utah Business Daily	1666	216428	2020-01-25	6
Metro Business Network	Virginia Business Daily	1668	216446	2020-01-23	4
MM - Texas	Waco Reporter	2254	216464	2020-01-25	6
Metro Business Network	Washington Business Daily	1669	216432	2020-01-24	5
MM - Texas	WC Texas News	2252	216485	2020-01-25	6
MM - Texas	West DFW News	2278	216465	2020-01-21	2
MM - Texas	West RGV News	2248	216458	2020-01-29	10
MM - Texas	West Texas News	2246	216484	2020-01-24	5
Metro Business Network	West Virginia Business Daily	1816	216449	2020-01-23	4
MM - Texas	Winter Garden Today	2242	216469	2020-01-21	2
Metro Business Network	Wisconsin Business Daily	1671	216448	2020-01-23	4
Metro Business Network	Wyoming Business Daily	1672	216454	2020-01-20	1
