Metro Business Network	Alabama Business Daily	1633	245836	2020-05-02	79
MM - Michigan	Ann Arbor Times	1889	245851	2020-03-06	22
Metro Business Network	Arizona Business Daily	1147	245842	2020-02-24	11
Metro Business Network	Arkansas Business Daily	1673	245835	2020-05-04	94
MM - Michigan	Battle Creek Times	1890	245861	2020-02-21	8
Metro Business Network	California Business Daily	1635	245834	2020-04-06	53
MM - Michigan	Capitol News	1904	245866	2020-03-06	22
Metro Business Network	Colorado Business Daily	1636	245820	2020-04-08	55
Metro Business Network	Connecticut Business Daily	1637	245844	2020-03-05	21
Metro Business Network	Delaware Business Daily	1638	245839	2020-02-28	15
MM - Michigan	Detroit City Wire	1891	245849	2020-02-26	13
MM - Michigan	East Michigan News	1896	245863	2020-02-24	11
MM - Michigan	Eastern Wayne Today	1895	245850	2020-02-26	13
Metro Business Network	Florida Business Daily	1149	245830	2020-05-04	121
MM - Michigan	Genesee News	1897	245868	2020-02-23	10
Metro Business Network	Georgia Business Daily	1639	245824	2020-05-04	150
Metro Business Network	Hawaii Business Daily	1640	245846	2020-02-14	1
MM - Michigan	Holland Reporter	1898	245853	2020-03-10	26
Metro Business Network	Idaho Business Daily	1641	245833	2020-03-09	25
Metro Business Network	Illinois Business Daily	1148	245808	2020-05-04	213
Metro Business Network	Indiana Business Daily	1642	245818	2020-05-04	173
Metro Business Network	Iowa Business Daily	1405	245810	2020-05-04	159
MM - Michigan	Kalamazoo Times	1899	245862	2020-03-06	22
Metro Business Network	Kansas Business Daily	1643	245800	2020-05-04	96
Metro Business Network	Kentucky Business Daily	1644	245817	2020-05-04	135
Metro Business Network	Keystone Business News	655	245801	2020-05-04	94
MM - Michigan	Lansing Sun	1926	245867	2020-03-06	22
MM - Michigan	Livingston Today	1905	245858	2020-02-24	11
Metro Business Network	Maine Business Daily	1646	245798	2020-03-08	24
Metro Business Network	Maryland Business Daily	1647	245806	2020-03-10	26
Metro Business Network	Massachusetts Business Daily	1648	245802	2020-03-03	19
Metro Business Network	Michigan Business Daily	1657	245816	2020-05-04	358
Metro Business Network	Minnesota Business Daily	1649	245832	2020-05-04	81
Metro Business Network	Mississippi Business Daily	1674	245822	2020-05-04	85
Metro Business Network	Missouri Business Daily	1651	245823	2020-05-04	153
MM - Michigan	Monroe Review	1906	245860	2020-02-20	7
Metro Business Network	Montana Business Daily	1652	245803	2020-03-04	20
MM - Michigan	Muskegon Sun	1907	245847	2020-02-24	11
Metro Business Network	Nebraska Business Daily	1653	245809	2020-05-04	87
Metro Business Network	Nevada Business Daily	1654	245845	2020-02-26	13
Metro Business Network	New Hampshire Business Daily	1655	245841	2020-02-20	7
Metro Business Network	New Jersey Business Daily	1656	245828	2020-03-12	28
Metro Business Network	New Mexico Business Daily	1658	245837	2020-02-18	5
Metro Business Network	New York Business Daily	1659	245819	2020-05-04	120
Metro Business Network	North Carolina Business Daily	1660	245815	2020-05-04	95
Metro Business Network	North Dakota Business Daily	1599	245840	2020-03-09	25
MM - Michigan	North Michigan News	1909	245799	2020-05-04	83
Metro Business Network	Ohio Business Daily	1632	245805	2020-05-04	188
Metro Business Network	Oklahoma Business Daily	1661	245831	2020-03-22	38
Metro Business Network	Oregon Business Daily	1662	245825	2020-04-02	49
Metro Business Network	Palmetto Business Daily	1120	245813	2020-03-29	45
Metro Business Network	Rhode Island Business Daily	1663	245826	2020-02-28	15
MM - Michigan	SE Grand Rapids News	1903	245865	2020-02-24	11
MM - Michigan	Shiawassee Times	1914	245855	2020-03-02	18
Metro Business Network	South Dakota Business Daily	1600	245829	2020-03-28	44
MM - Michigan	South Michigan News	1915	245848	2020-03-16	32
MM - Michigan	St. Joe-Benton Harbor News	1908	245852	2020-03-13	29
MM - Michigan	Sturgis-Coldwater News	1920	245864	2020-02-22	9
Metro Business Network	Tennessee Business Daily	1675	245814	2020-05-04	133
Metro Business Network	Texas Business Daily	1287	245811	2020-05-04	175
MM - Michigan	Thumb Reporter	1921	245854	2020-03-01	17
MM - Michigan	Tri-City Sun	1922	245857	2020-03-08	24
MM - Michigan	UP Gazette	1923	245859	2020-03-22	38
Metro Business Network	Utah Business Daily	1666	245821	2020-03-17	33
Metro Business Network	Vermont Business Daily	1667	245827	2020-02-29	16
Metro Business Network	Virginia Business Daily	1668	245812	2020-04-14	61
Metro Business Network	Washington Business Daily	1669	245838	2020-03-19	35
MM - Michigan	West Central Michigan News	1924	245856	2020-03-30	46
Metro Business Network	West Virginia Business Daily	1816	245807	2020-04-23	70
Metro Business Network	Wisconsin Business Daily	1671	245804	2020-05-04	98
Metro Business Network	Wyoming Business Daily	1672	245843	2020-02-21	8
