Metro Business Network	Alabama Business Daily	1633	250037	25.02.2020	1
MM - Michigan	Ann Arbor Times	1889	249998	04.03.2020	9
Metro Business Network	Arizona Business Daily	1147	250020	02.03.2020	7
Metro Business Network	Arkansas Business Daily	1673	250025	01.03.2020	6
MM - Michigan	Battle Creek Times	1890	250059	27.02.2020	3
Metro Business Network	California Business Daily	1635	250016	08.04.2020	44
MM - Michigan	Capitol News	1904	250049	07.03.2020	12
Metro Business Network	Colorado Business Daily	1636	250021	13.03.2020	18
Metro Business Network	Connecticut Business Daily	1637	250023	26.02.2020	2
Metro Business Network	Delaware Business Daily	1638	250002	25.02.2020	1
MM - Michigan	Detroit City Wire	1891	250057	27.02.2020	3
MM - Michigan	East Michigan News	1896	250047	29.02.2020	5
MM - Michigan	Eastern Wayne Today	1895	250055	04.03.2020	9
Metro Business Network	Florida Business Daily	1149	250004	06.04.2020	42
MM - Michigan	Genesee News	1897	250056	05.03.2020	10
Metro Business Network	Georgia Business Daily	1639	250018	09.03.2020	14
MM - Michigan	Holland Reporter	1898	250053	06.03.2020	11
Metro Business Network	Idaho Business Daily	1641	250032	25.02.2020	1
Metro Business Network	Illinois Business Daily	1148	250010	09.03.2020	14
Metro Business Network	Indiana Business Daily	1642	250011	13.03.2020	18
Metro Business Network	Iowa Business Daily	1405	250015	02.03.2020	7
MM - Michigan	Kalamazoo Times	1899	250043	02.03.2020	7
Metro Business Network	Kansas Business Daily	1643	250008	10.03.2020	15
Metro Business Network	Kentucky Business Daily	1644	250028	29.02.2020	5
Metro Business Network	Keystone Business News	655	250001	06.03.2020	11
MM - Michigan	Lansing Sun	1926	250050	07.03.2020	12
MM - Michigan	Livingston Today	1905	250054	29.02.2020	5
Metro Business Network	Maine Business Daily	1646	250026	26.02.2020	2
Metro Business Network	Maryland Business Daily	1647	250027	26.02.2020	2
Metro Business Network	Massachusetts Business Daily	1648	250024	29.02.2020	5
Metro Business Network	Michigan Business Daily	1657	249997	25.04.2020	291
Metro Business Network	Minnesota Business Daily	1649	250005	21.03.2020	26
Metro Business Network	Mississippi Business Daily	1674	250033	25.02.2020	1
Metro Business Network	Missouri Business Daily	1651	250006	01.03.2020	6
MM - Michigan	Monroe Review	1906	250048	26.02.2020	2
Metro Business Network	Montana Business Daily	1652	250009	27.02.2020	3
MM - Michigan	Muskegon Sun	1907	250045	01.03.2020	6
Metro Business Network	Nebraska Business Daily	1653	250030	29.02.2020	5
Metro Business Network	Nevada Business Daily	1654	250034	28.02.2020	4
Metro Business Network	New Hampshire Business Daily	1655	250038	26.02.2020	2
Metro Business Network	New York Business Daily	1659	250022	29.02.2020	5
Metro Business Network	North Carolina Business Daily	1660	250003	02.03.2020	7
Metro Business Network	North Dakota Business Daily	1599	250036	26.02.2020	2
MM - Michigan	North Michigan News	1909	250039	17.03.2020	22
Metro Business Network	Ohio Business Daily	1632	250017	19.04.2020	55
Metro Business Network	Oklahoma Business Daily	1661	249999	26.02.2020	2
Metro Business Network	Oregon Business Daily	1662	250012	26.02.2020	2
Metro Business Network	Palmetto Business Daily	1120	250013	06.03.2020	11
MM - Michigan	SE Grand Rapids News	1903	250042	28.02.2020	4
MM - Michigan	Shiawassee Times	1914	250051	28.02.2020	4
Metro Business Network	South Dakota Business Daily	1600	250035	25.02.2020	1
MM - Michigan	South Michigan News	1915	250052	29.02.2020	5
MM - Michigan	St. Joe-Benton Harbor News	1908	250040	04.03.2020	9
MM - Michigan	Sturgis-Coldwater News	1920	250058	27.02.2020	3
Metro Business Network	Tennessee Business Daily	1675	250031	04.03.2020	9
Metro Business Network	Texas Business Daily	1287	250019	14.03.2020	19
MM - Michigan	Thumb Reporter	1921	250060	26.02.2020	2
MM - Michigan	Tri-City Sun	1922	250041	05.03.2020	10
MM - Michigan	UP Gazette	1923	250044	13.03.2020	18
Metro Business Network	Utah Business Daily	1666	250007	06.03.2020	11
Metro Business Network	Washington Business Daily	1669	250000	07.03.2020	12
MM - Michigan	West Central Michigan News	1924	250046	03.03.2020	8
Metro Business Network	West Virginia Business Daily	1816	250029	26.02.2020	2
Metro Business Network	Wisconsin Business Daily	1671	250014	19.03.2020	24
