Metro Business Network	Alabama Business Daily	1633	255123	2020-03-05	1
MM - Michigan	Ann Arbor Times	1889	255085	2020-03-18	14
Metro Business Network	Arizona Business Daily	1147	255107	2020-03-13	9
Metro Business Network	Arkansas Business Daily	1673	255112	2020-03-10	6
MM - Michigan	Battle Creek Times	1890	255146	2020-03-09	5
Metro Business Network	California Business Daily	1635	255103	2020-04-04	48
MM - Michigan	Capitol News	1904	255136	2020-03-22	18
Metro Business Network	Colorado Business Daily	1636	255108	2020-03-24	20
Metro Business Network	Connecticut Business Daily	1637	255110	2020-03-06	2
Metro Business Network	Delaware Business Daily	1638	255093	2020-03-05	1
MM - Michigan	Detroit City Wire	1891	255144	2020-03-14	10
MM - Michigan	East Michigan News	1896	255134	2020-03-12	8
MM - Michigan	Eastern Wayne Today	1895	255142	2020-03-18	14
Metro Business Network	Florida Business Daily	1149	255086	2020-04-04	52
MM - Michigan	Genesee News	1897	255143	2020-03-28	24
Metro Business Network	Georgia Business Daily	1639	255104	2020-03-23	19
MM - Michigan	Holland Reporter	1898	255141	2020-03-20	16
Metro Business Network	Idaho Business Daily	1641	255119	2020-03-05	1
Metro Business Network	Illinois Business Daily	1148	255098	2020-03-20	16
Metro Business Network	Indiana Business Daily	1642	255099	2020-03-26	22
Metro Business Network	Iowa Business Daily	1405	255101	2020-03-11	7
MM - Michigan	Kalamazoo Times	1899	255130	2020-03-23	19
Metro Business Network	Kansas Business Daily	1643	255092	2020-03-21	17
Metro Business Network	Kentucky Business Daily	1644	255115	2020-03-09	5
Metro Business Network	Keystone Business News	655	255087	2020-03-17	13
MM - Michigan	Lansing Sun	1926	255137	2020-03-22	18
MM - Michigan	Livingston Today	1905	255140	2020-03-15	11
Metro Business Network	Maine Business Daily	1646	255113	2020-03-06	2
Metro Business Network	Maryland Business Daily	1647	255114	2020-03-06	2
Metro Business Network	Massachusetts Business Daily	1648	255111	2020-03-09	5
Metro Business Network	Michigan Business Daily	1657	255084	2020-04-04	529
Metro Business Network	Minnesota Business Daily	1649	255091	2020-04-02	29
Metro Business Network	Mississippi Business Daily	1674	255120	2020-03-05	1
Metro Business Network	Missouri Business Daily	1651	255096	2020-03-13	9
MM - Michigan	Monroe Review	1906	255135	2020-03-09	5
Metro Business Network	Montana Business Daily	1652	255097	2020-03-07	3
MM - Michigan	Muskegon Sun	1907	255132	2020-03-12	8
Metro Business Network	Nebraska Business Daily	1653	255117	2020-03-11	7
Metro Business Network	Nevada Business Daily	1654	255121	2020-03-11	7
Metro Business Network	New Hampshire Business Daily	1655	255125	2020-03-06	2
Metro Business Network	New York Business Daily	1659	255109	2020-03-11	7
Metro Business Network	North Carolina Business Daily	1660	255094	2020-03-12	8
Metro Business Network	North Dakota Business Daily	1599	255124	2020-03-06	2
MM - Michigan	North Michigan News	1909	255126	2020-04-04	34
Metro Business Network	Ohio Business Daily	1632	255106	2020-04-04	68
Metro Business Network	Oklahoma Business Daily	1661	255089	2020-03-06	2
Metro Business Network	Oregon Business Daily	1662	255095	2020-03-06	2
Metro Business Network	Palmetto Business Daily	1120	255100	2020-03-16	12
MM - Michigan	SE Grand Rapids News	1903	255129	2020-03-09	5
MM - Michigan	Shiawassee Times	1914	255138	2020-03-09	5
Metro Business Network	South Dakota Business Daily	1600	255122	2020-03-05	1
MM - Michigan	South Michigan News	1915	255139	2020-03-18	14
MM - Michigan	St. Joe-Benton Harbor News	1908	255127	2020-03-17	13
MM - Michigan	Sturgis-Coldwater News	1920	255145	2020-03-08	4
Metro Business Network	Tennessee Business Daily	1675	255118	2020-03-15	11
Metro Business Network	Texas Business Daily	1287	255105	2020-03-23	19
MM - Michigan	Thumb Reporter	1921	255147	2020-03-06	2
MM - Michigan	Tri-City Sun	1922	255128	2020-03-23	19
MM - Michigan	UP Gazette	1923	255131	2020-03-28	24
Metro Business Network	Utah Business Daily	1666	255088	2020-03-16	12
Metro Business Network	Washington Business Daily	1669	255090	2020-03-17	13
MM - Michigan	West Central Michigan News	1924	255133	2020-03-14	10
Metro Business Network	West Virginia Business Daily	1816	255116	2020-03-06	2
Metro Business Network	Wisconsin Business Daily	1671	255102	2020-03-29	25
