Ava's population increases by 49 people between 2017 and 2018	Carbondale Reporter	https://pipeline.locallabs.com/stories/528877862	2020-04-21 09:33:08	Carbondale Reporter - Population Changes City HLE	LGIS
Tescott's population increases by 9 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879213	2020-04-11 08:39:42	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Oxford's population decreases by 33 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879331	2020-04-28 08:08:11	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Offerle's population increases by 2 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879349	2020-04-30 08:27:47	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Lebo's population decreases by 68 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879467	2020-05-17 09:41:57	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Welda's population decreases by 23 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879174	2020-04-05 09:39:22	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Valley Falls' population decreases by 54 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879197	2020-04-09 07:14:32	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Perry's population decreases by 15 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879315	2020-04-25 08:36:28	Kansas Business Daily - Population Changes City HLE	Metro Business Network
McCracken's population increases by 7 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879413	2020-05-09 08:39:51	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Lincolnville's population increases by 6 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879451	2020-05-15 09:18:37	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Willard's population increases by 5 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879159	2020-04-03 08:50:22	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Sawyer's population increases by 37 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879261	2020-04-18 08:34:53	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Preston's population increases by 10 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879299	2020-04-23 09:03:55	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Milton's population unchanged between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879398	2020-05-07 07:38:12	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Lucas' population increases by 26 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879435	2020-05-13 07:32:03	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Winfield's population decreases by 42 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879144	2020-04-02 07:40:44	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Shawnee's population increases by 399 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879245	2020-04-15 07:43:43	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Reserve's population decreases by 16 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879283	2020-04-21 09:36:17	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Moundridge's population increases by 317 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879383	2020-05-05 09:41:53	Kansas Business Daily - Population Changes City HLE	Metro Business Network
St. Marys' population decreases by 64 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879229	2020-04-13 10:51:02	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Russell's population decreases by 36 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879267	2020-04-19 07:06:24	Kansas Business Daily - Population Changes City HLE	Metro Business Network
New Albany's population increases by 123 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879365	2020-05-03 09:39:03	Kansas Business Daily - Population Changes City HLE	Metro Business Network
La Cygne's population increases by 51 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879483	2020-05-19 08:29:21	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Ozawkie's population decreases by 36 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879330	2020-04-28 09:10:33	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Oketo's population increases by 32 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879350	2020-04-30 09:21:30	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Lecompton's population increases by 41 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879466	2020-05-17 07:23:20	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Wellington's population decreases by 44 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879175	2020-04-05 09:01:38	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Vassar's population decreases by 13 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879196	2020-04-08 08:12:13	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Peru's population decreases by 9 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879313	2020-04-25 08:55:34	Kansas Business Daily - Population Changes City HLE	Metro Business Network
McCune's population decreases by 49 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879411	2020-05-09 08:32:41	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Lindsborg's population decreases by 4 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879450	2020-05-15 07:32:11	Kansas Business Daily - Population Changes City HLE	Metro Business Network
Williamsburg's population increases by 5 people between 2017 and 2018	Kansas Business Daily	https://pipeline.locallabs.com/stories/528879157	2020-04-03 07:41:27	Kansas Business Daily - Population Changes City HLE	Metro Business Network
