MM - Texas	Abilene Times	2241	298706	2020-05-04	26
MM - New Mexico	ABQ Times	2636	298695	2020-04-29	21
MM - South Carolina	Aiken Times	2787	298475	2020-04-27	19
MM - Ohio	Akron Reporter	2187	298811	2020-04-09	1
MM - Georgia	Albany Standard	2307	298658	2020-04-26	18
MM - West Virginia	Allegheny Highlands Today	2641	298528	2020-05-14	36
MM - Pennsylvania	Altoona Times	2040	298410	2020-05-25	47
MM - Texas	Amarillo Gazette	2243	298567	2020-04-22	14
MM - Iowa	Ames Today	2044	298246	2020-05-02	24
MM - Indiana	Anderson Reporter	2471	298389	2020-04-23	15
MM - Michigan	Ann Arbor Times	1889	298262	2020-04-16	8
MM - Maryland	Anne Arundel Today	1684	298765	2020-04-22	14
MM - Minnesota	Anoka Times	2080	298748	2020-04-29	21
MM - Maine	Aroostook News	2386	298398	2020-04-23	15
MM - North Carolina	Asheville Reporter	2140	298402	2020-04-28	20
MM - Georgia	Athens Reporter	2335	298441	2020-05-10	32
MM - Georgia	ATL Standard	2318	298808	2020-04-09	1
MM - New Jersey	Atlantic County Times	2514	298696	2020-04-30	22
MM - Maryland	Baltimore City Wire	1685	298787	2020-04-09	1
MM - Louisiana	Baton Rouge Reporter	2588	298253	2020-05-14	36
MM - Michigan	Battle Creek Times	1890	298726	2020-04-17	9
MM - Massachusetts	Bean Town Times	2769	298768	2020-04-12	4
MM - Pennsylvania	Beaver County News	2111	298618	2020-05-10	32
MM - South Carolina	Berkeley Leader	2788	298746	2020-04-18	10
MM - Pennsylvania	Berks County News	2030	298316	2020-06-24	77
MM - Hawaii	Big Island Times	2584	298680	2020-05-20	42
MM - Indiana	Bloomington Leader	2472	298349	2020-04-27	19
MM - West Virginia	Bluestone News	2642	298634	2020-05-21	43
MM - Kentucky	Bowling Green Today	2430	298407	2020-04-17	9
MM - Missouri	Branson Times	2130	298731	2020-04-27	19
MM - Florida	Brevard Sun	1961	298616	2020-05-03	25
MM - Massachusetts	Bristol Reporter	2766	298730	2020-04-22	14
MM - New York	Buffalo Ledger	2802	298511	2020-05-10	32
MM - New Jersey	Burlington Review	2510	298338	2020-04-27	19
MM - Vermont	Burlington Standard	2336	298454	2020-04-20	12
MM - Pennsylvania	Butler County News	2108	298242	2020-05-04	26
MM - Ohio	Butler County Today	2216	298519	2020-04-21	13
MM - North Carolina	Cabarrus Today	2141	298743	2020-04-26	18
MM - Pennsylvania	Cambria Times	2106	298502	2020-05-20	42
MM - Massachusetts	Cape Cod Ledger	2768	298298	2020-04-22	14
MM - Missouri	Cape News	2129	298355	2020-05-23	45
MM - New York	Capital District Times	2803	298327	2020-05-09	31
MM - Michigan	Capitol News	1904	298514	2020-05-11	33
MM - Idaho	CDA Reporter	2678	298358	2020-04-23	15
MM - Iowa	Cedar Rapids Today	2046	298318	2020-05-24	46
MM - Georgia	Central Georgia News	2314	298337	2020-05-30	52
MM - Idaho	Central Idaho Times	2677	298293	2020-04-30	22
MM - Iowa	Central Iowa Times	2060	298367	2020-06-08	61
MM - Louisiana	Central Louisiana News	2589	298220	2020-07-13	96
MM - Missouri	Central Missouri News	2128	298603	2020-06-17	70
MM - Montana	Central Montana Times	2114	298456	2020-07-02	85
MM - North Dakota	Central ND News	2437	298241	2020-07-18	107
MM - Virginia	Central Nova News	2352	298810	2020-04-10	2
MM - Ohio	Central Ohio Today	2231	298255	2020-06-11	64
MM - Oregon	Central Oregon Times	2666	298657	2020-06-01	54
MM - Pennsylvania	Central PA News	2104	298295	2020-05-20	42
MM - Virginia	Central Shenandoah News	2353	298579	2020-05-14	36
MM - South Dakota	Central South Dakota News	2449	298308	2020-07-15	98
MM - Utah	Central Utah News	2652	298631	2020-06-09	62
MM - Virginia	Central Virginia Times	2356	298444	2020-05-05	27
MM - Wisconsin	Central Wisconsin News	1877	298434	2020-05-20	42
MM - Wyoming	Central Wyoming News	2389	298685	2020-05-13	35
MM - Texas	Centroplex News	2247	298710	2020-05-05	27
MM - North Carolina	Chapel Hill Review	2167	298801	2020-04-11	3
MM - West Virginia	Charleston Leader	2643	298544	2020-05-11	33
MM - South Carolina	Charleston Reporter	2825	298739	2020-04-24	16
MM - Wisconsin	Chippewa Valley Times	1885	298371	2020-05-19	41
MM - Ohio	Cincy Reporter	2217	298807	2020-04-09	1
MM - Tennessee	Clarksville Times	2535	298803	2020-04-10	2
MM - Missouri	Clay Co Times	2117	298757	2020-04-28	20
MM - Florida	Clay County Times	1969	298776	2020-04-17	9
MM - Ohio	Cleveland Reporter	2208	298806	2020-04-09	1
MM - Pennsylvania	Coal Region News	2102	298636	2020-06-28	81
MM - Georgia	Coastal GA News	2315	298414	2020-04-27	19
