MM - New Mexico	ABQ Times	2636	300106	2020-04-10	1
MM - Iowa	Ames Today	2044	300103	2020-04-10	1
MM - New Jersey	Atlantic County Times	2514	300111	2020-04-10	1
MM - Pennsylvania	Beaver County News	2111	300109	2020-04-10	1
MM - Pennsylvania	Berks County News	2030	300107	2020-04-10	1
MM - Missouri	Branson Times	2130	300041	2020-04-10	1
MM - New Jersey	Burlington Review	2510	300102	2020-04-10	1
MM - Missouri	Cape News	2129	300101	2020-04-10	1
LGIS	Carbondale Reporter	1190	300001	2020-04-13	4
MM - Iowa	Cedar Rapids Today	2046	300033	2020-04-10	1
MM - Iowa	Central Iowa Times	2060	299975	2020-04-12	3
MM - Montana	Central Montana Times	2114	300061	2020-04-10	1
MM - Virginia	Central Nova News	2352	300112	2020-04-10	1
LGIS	Chambana Sun	1164	300008	2020-04-17	8
MM - West Virginia	Charleston Leader	2643	300074	2020-04-10	1
MM - South Carolina	Charleston Reporter	2825	300098	2020-04-10	1
LGIS	Chicago City Wire	1239	300025	2020-04-11	2
MM - Texas	Concho Valley News	2261	300040	2020-04-10	1
MM - New Hampshire	Concord Ledger	2346	300065	2020-04-10	1
MM - Pennsylvania	Cumberland Valley News	2098	300089	2020-04-10	1
MM - Texas	Dallas City Wire	2251	300088	2020-04-10	1
MM - Pennsylvania	Dauphin News	2096	300090	2020-04-10	1
MM - Iowa	Dubuque Times	2057	300075	2020-04-12	3
MM - Nevada	Eagle Valley Times	2299	300045	2020-04-11	2
MM - Iowa	East Central Iowa News	2055	300042	2020-04-17	8
LGIS	East Central Reporter	1193	300012	2020-05-01	22
MM - New York	East Hudson Valley News	2805	300091	2020-04-10	1
MM - Florida	Emerald Coast Times	1979	300048	2020-04-10	1
MM - Ohio	Findlay Times	2202	300081	2020-04-10	1
Metro Business Network	Florida Business Daily	1149	299986	2020-04-17	8
LGIS	Galesburg Reporter	1603	300007	2020-04-15	6
LGIS	Grundy Reporter	1539	300024	2020-04-11	2
MM - Maryland	Harford News	1686	300082	2020-04-10	1
MM - New Hampshire	Hillsborough Sun	2345	300079	2020-04-10	1
MM - Michigan	Holland Reporter	1898	300056	2020-04-10	1
MM - New Jersey	Hudson Today	2504	300077	2020-04-10	1
Metro Business Network	Illinois Business Daily	1148	299977	2020-09-26	170
LGIS	Illinois Valley Times	1187	300015	2020-04-17	8
Metro Business Network	Indiana Business Daily	1642	299996	2020-04-11	2
Metro Business Network	Iowa Business Daily	1405	299976	2020-07-04	86
MM - Missouri	Jefferson City News	2126	300093	2020-04-10	1
LGIS	Kane County Reporter	1236	300022	2020-04-11	2
LGIS	Kankakee Times	1163	300021	2020-04-13	4
Metro Business Network	Kansas Business Daily	1643	299997	2020-04-11	2
Metro Business Network	Keystone Business News	655	299973	2020-05-05	26
LGIS	Lake County Gazette	1160	300020	2020-04-11	2
MM - Nevada	Las Vegas Record	2301	300094	2020-04-10	1
MM - Pennsylvania	Luzerne Times	2074	300068	2020-04-10	1
LGIS	Macon Reporter	1387	300016	2020-04-13	4
Metro Business Network	Maryland Business Daily	1647	299995	2020-04-13	4
LGIS	McHenry Times	1161	300019	2020-04-11	2
LGIS	McLean County Times	1386	300017	2020-04-13	4
LGIS	Metro East Sun	1162	300010	2020-04-15	6
Metro Business Network	Michigan Business Daily	1657	299987	2020-05-01	22
Metro Business Network	Minnesota Business Daily	1649	299990	2020-04-17	8
Metro Business Network	Missouri Business Daily	1651	299983	2020-04-25	16
Metro Business Network	Montana Business Daily	1652	299991	2020-04-11	2
MM - Florida	NC Florida News	1987	300113	2020-04-10	1
Metro Business Network	Nebraska Business Daily	1653	299980	2020-04-17	8
Metro Business Network	Nevada Business Daily	1654	299979	2020-04-27	18
Metro Business Network	New Hampshire Business Daily	1655	299993	2020-04-13	4
Metro Business Network	New Jersey Business Daily	1656	299984	2020-04-25	16
Metro Business Network	New Mexico Business Daily	1658	299985	2020-04-15	6
Metro Business Network	New York Business Daily	1659	299978	2020-04-25	16
MM - New Jersey	Newark Reporter	2497	300087	2020-04-10	1
MM - Maryland	North Baltimore Journal	1690	300110	2020-04-10	1
Metro Business Network	North Carolina Business Daily	1660	299999	2020-04-11	2
LGIS	North Egypt News	1602	300023	2020-04-13	4
MM - Indiana	North Indy News	2487	300083	2020-04-10	1
MM - Michigan	North Michigan News	1909	300071	2020-04-12	3
MM - Nevada	North Nevada News	2300	300030	2020-04-13	4
MM - North Carolina	North Triangle News	2180	300099	2020-04-10	1
MM - Pennsylvania	Northwest PA News	2051	300095	2020-04-10	1
LGIS	NW Illinois News	1389	300004	2020-04-19	10
MM - Iowa	NW Iowa News	2064	300046	2020-04-10	1
MM - New Jersey	NW Jersey News	2515	300043	2020-04-10	1
MM - Ohio	NW Ohio Times	2199	300080	2020-04-10	1
MM - New Jersey	Ocean County Leader	2506	300058	2020-04-10	1
Metro Business Network	Ohio Business Daily	1632	299981	2020-04-15	6
Metro Business Network	Oklahoma Business Daily	1661	299988	2020-04-13	4
MM - New York	Oneida Times	2814	300057	2020-04-10	1
Metro Business Network	Palmetto Business Daily	1120	299998	2020-04-11	2
MM - New Jersey	Passaic News	2508	300055	2020-04-10	1
LGIS	Peoria Standard	1189	299974	2020-04-21	12
MM - Washington	Pierce Today	1932	300054	2020-04-10	1
MM - Missouri	Platte News	2119	300052	2020-04-10	1
LGIS	Quincy Reporter	1601	300028	2020-04-11	2
MM - Iowa	River Bend Times	2065	300062	2020-04-11	2
LGIS	Rock Island Today	1188	300018	2020-04-13	4
LGIS	Rockford Sun	1384	300002	2020-04-13	4
LGIS	Sangamon Sun	1186	300011	2020-04-17	8
MM - New Mexico	Santa Fe Standard	2635	300050	2020-04-10	1
MM - Minnesota	SC Minnesota News	2089	300059	2020-04-11	2
MM - Nebraska	SC Nebraska News	2629	300032	2020-04-12	3
MM - New York	SC New York News	2818	300039	2020-04-10	1
MM - Pennsylvania	Scranton Reporter	2048	300072	2020-04-10	1
LGIS	SE Illinois News	1238	300005	2020-04-19	10
MM - Iowa	SE Iowa News	2067	300037	2020-04-11	2
MM - Minnesota	SE Minnesota News	2081	300076	2020-04-10	1
MM - Nebraska	SE Nebraska News	2628	300051	2020-04-10	1
MM - Oklahoma	SE Oklahoma News	2778	300053	2020-04-11	2
MM - Washington	Seattle City Wire	1959	300073	2020-04-10	1
MM - Iowa	Sioux City Times	2066	300064	2020-04-12	3
LGIS	South Central Reporter	1604	300006	2020-04-21	12
LGIS	South Cook News	1385	300026	2020-04-11	2
MM - Iowa	South DSM News	2047	300035	2020-04-12	3
MM - Iowa	South Iowa News	2068	300036	2020-04-17	8
MM - New Jersey	South Jersey Sun	2516	300100	2020-04-10	1
MM - Michigan	South Michigan News	1915	300069	2020-04-10	1
MM - Washington	South Sound Times	1968	300070	2020-04-10	1
LGIS	Southern Illinois News	1605	300009	2020-04-21	12
MM - Pennsylvania	Southwest PA News	2042	300085	2020-04-10	1
MM - Michigan	St. Joe-Benton Harbor News	1908	300105	2020-04-10	1
MM - New York	Suffolk Reporter	2820	300044	2020-04-10	1
LGIS	SW Illinois News	1192	300014	2020-04-15	6
MM - Iowa	SW Iowa Times	2069	300047	2020-04-13	4
MM - Kansas	SW Kansas News	2417	300086	2020-04-10	1
MM - Missouri	SW Missouri News	2123	300060	2020-04-10	1
Metro Business Network	Texas Business Daily	1287	299982	2020-04-23	14
MM - Michigan	Thumb Reporter	1921	300049	2020-04-10	1
MM - Florida	Treasure Coast Sun	2014	300067	2020-04-10	1
MM - Michigan	UP Gazette	1923	300108	2020-04-10	1
Metro Business Network	Virginia Business Daily	1668	300000	2020-04-11	2
MM - Ohio	Warren-Clinton News	2221	300034	2020-04-10	1
Metro Business Network	Washington Business Daily	1669	299989	2020-04-15	6
MM - Iowa	Waterloo Times	2058	300104	2020-04-10	1
MM - Iowa	WC Iowa News	2062	300084	2020-04-12	3
MM - New Mexico	WC New Mexico News	2639	300096	2020-04-10	1
MM - Texas	WC Texas News	2252	300092	2020-04-10	1
MM - Wisconsin	WC Wisconsin News	1887	300063	2020-04-10	1
MM - Michigan	West Central Michigan News	1924	300066	2020-04-11	2
LGIS	West Central Reporter	1199	300013	2020-04-23	14
LGIS	West Cook News	1191	300027	2020-04-11	2
MM - New York	West Hudson Valley News	2806	300038	2020-04-10	1
MM - New York	West NY News	2823	300097	2020-04-11	2
MM - Texas	West RGV News	2248	300078	2020-04-10	1
Metro Business Network	West Virginia Business Daily	1816	299994	2020-04-11	2
MM - New York	Westchester Reporter	2822	300031	2020-04-10	1
LGIS	Will County Gazette	1237	300003	2020-04-11	2
Metro Business Network	Wisconsin Business Daily	1671	299992	2020-04-11	2
MM - Pennsylvania	York County News	2033	300029	2020-04-10	1
