MM - Texas	Abilene Times	2241	291819	2020-05-01	26
MM - New Mexico	ABQ Times	2636	291578	2020-04-26	21
MM - South Carolina	Aiken Times	2787	291760	2020-04-24	19
MM - Ohio	Akron Reporter	2187	291942	2020-04-06	1
MM - Georgia	Albany Standard	2307	291657	2020-04-21	16
MM - West Virginia	Allegheny Highlands Today	2641	291400	2020-05-11	36
MM - Pennsylvania	Altoona Times	2040	291452	2020-05-22	47
MM - Texas	Amarillo Gazette	2243	291755	2020-04-19	14
MM - Iowa	Ames Today	2044	291393	2020-04-29	24
MM - Indiana	Anderson Reporter	2471	291472	2020-04-20	15
MM - Michigan	Ann Arbor Times	1889	291355	2020-04-13	8
MM - Maryland	Anne Arundel Today	1684	291877	2020-04-19	14
MM - Minnesota	Anoka Times	2080	291890	2020-04-26	21
MM - Maine	Aroostook News	2386	291403	2020-04-20	15
MM - North Carolina	Asheville Reporter	2140	291806	2020-04-25	20
MM - Georgia	Athens Reporter	2335	291545	2020-05-07	32
MM - Georgia	ATL Standard	2318	291939	2020-04-06	1
MM - New Jersey	Atlantic County Times	2514	291797	2020-04-27	22
MM - Maryland	Baltimore City Wire	1685	291906	2020-04-06	1
MM - Louisiana	Baton Rouge Reporter	2588	291553	2020-05-11	36
MM - Michigan	Battle Creek Times	1890	291720	2020-04-14	9
MM - Massachusetts	Bean Town Times	2769	291901	2020-04-09	4
MM - Pennsylvania	Beaver County News	2111	291549	2020-05-07	32
MM - South Carolina	Berkeley Leader	2788	291888	2020-04-15	10
MM - Pennsylvania	Berks County News	2030	291417	2020-06-21	77
MM - Hawaii	Big Island Times	2584	291705	2020-05-17	42
MM - Indiana	Bloomington Leader	2472	291470	2020-04-24	19
MM - West Virginia	Bluestone News	2642	291479	2020-05-18	43
MM - Kentucky	Bowling Green Today	2430	291518	2020-04-14	9
MM - Missouri	Branson Times	2130	291841	2020-04-24	19
MM - Florida	Brevard Sun	1961	291792	2020-04-30	25
MM - Massachusetts	Bristol Reporter	2766	291869	2020-04-19	14
MM - New York	Buffalo Ledger	2802	291604	2020-05-07	32
MM - New Jersey	Burlington Review	2510	291571	2020-04-24	19
MM - Vermont	Burlington Standard	2336	291484	2020-04-17	12
MM - Pennsylvania	Butler County News	2108	291401	2020-05-01	26
MM - Ohio	Butler County Today	2216	291475	2020-04-18	13
MM - North Carolina	Cabarrus Today	2141	291883	2020-04-22	17
MM - Pennsylvania	Cambria Times	2106	291471	2020-05-17	42
MM - Massachusetts	Cape Cod Ledger	2768	291585	2020-04-19	14
MM - Missouri	Cape News	2129	291629	2020-05-20	45
MM - New York	Capital District Times	2803	291555	2020-05-06	31
MM - Michigan	Capitol News	1904	291395	2020-05-08	33
LGIS	Carbondale Reporter	1190	291340	2020-04-26	21
MM - Idaho	CDA Reporter	2678	291362	2020-04-20	15
MM - Iowa	Cedar Rapids Today	2046	291404	2020-05-21	46
MM - Georgia	Central Georgia News	2314	291513	2020-05-27	52
