MM - Texas	Abilene Times	2241	295130	2020-04-21	16
MM - New Mexico	ABQ Times	2636	295125	2020-04-12	7
MM - South Carolina	Aiken Times	2787	295041	2020-04-24	19
MM - Ohio	Akron Reporter	2187	295289	2020-04-06	1
MM - Georgia	Albany Standard	2307	294929	2020-04-23	18
MM - West Virginia	Allegheny Highlands Today	2641	294740	2020-04-22	17
MM - Pennsylvania	Altoona Times	2040	295042	2020-04-25	20
MM - Texas	Amarillo Gazette	2243	295113	2020-04-14	9
MM - Iowa	Ames Today	2044	295242	2020-04-13	8
MM - Indiana	Anderson Reporter	2471	295129	2020-04-16	11
MM - Michigan	Ann Arbor Times	1889	294699	2020-04-12	7
MM - Maryland	Anne Arundel Today	1684	295203	2020-04-19	14
MM - Minnesota	Anoka Times	2080	295225	2020-04-21	16
MM - Maine	Aroostook News	2386	295031	2020-04-14	9
MM - North Carolina	Asheville Reporter	2140	295111	2020-04-22	17
MM - Georgia	Athens Reporter	2335	294836	2020-05-04	29
MM - Georgia	ATL Standard	2318	295286	2020-04-06	1
MM - New Jersey	Atlantic County Times	2514	295102	2020-04-27	22
MM - Maryland	Baltimore City Wire	1685	295245	2020-04-06	1
MM - Louisiana	Baton Rouge Reporter	2588	294846	2020-05-10	35
MM - Michigan	Battle Creek Times	1890	294998	2020-04-13	8
MM - Massachusetts	Bean Town Times	2769	295240	2020-04-09	4
MM - Pennsylvania	Beaver County News	2111	294844	2020-05-01	26
MM - South Carolina	Berkeley Leader	2788	295222	2020-04-14	9
MM - Pennsylvania	Berks County News	2030	294736	2020-05-23	48
MM - Hawaii	Big Island Times	2584	294986	2020-04-30	25
MM - Indiana	Bloomington Leader	2472	294774	2020-04-14	9
MM - West Virginia	Bluestone News	2642	294782	2020-04-25	20
MM - Kentucky	Bowling Green Today	2430	294813	2020-04-12	7
MM - Missouri	Branson Times	2130	295267	2020-04-11	6
MM - Florida	Brevard Sun	1961	295089	2020-04-29	24
MM - Massachusetts	Bristol Reporter	2766	295183	2020-04-18	13
MM - New York	Buffalo Ledger	2802	294895	2020-05-01	26
MM - New Jersey	Burlington Review	2510	294864	2020-04-23	18
MM - Vermont	Burlington Standard	2336	294784	2020-04-13	8
MM - Pennsylvania	Butler County News	2108	295163	2020-04-18	13
MM - Ohio	Butler County Today	2216	294806	2020-04-12	7
MM - North Carolina	Cabarrus Today	2141	295213	2020-04-22	17
MM - Pennsylvania	Cambria Times	2106	294841	2020-04-26	21
MM - Massachusetts	Cape Cod Ledger	2768	294872	2020-04-16	11
MM - Missouri	Cape News	2129	294981	2020-04-23	18
MM - New York	Capital District Times	2803	294848	2020-04-29	24
MM - Michigan	Capitol News	1904	294725	2020-04-30	25
LGIS	Carbondale Reporter	1190	294683	2020-04-16	11
MM - Idaho	CDA Reporter	2678	294707	2020-04-12	7
MM - Iowa	Cedar Rapids Today	2046	294831	2020-04-30	25
MM - Georgia	Central Georgia News	2314	294808	2020-05-25	50
MM - Idaho	Central Idaho Times	2677	294758	2020-04-10	5
