MM - Texas	Abilene Times	2241	311513	2020-04-29	13
MM - New Mexico	ABQ Times	2636	311954	2020-04-29	13
MM - Idaho	Ada Reporter	2675	312052	2020-04-29	13
MM - Colorado	Adams County Times	2460	311791	2020-04-29	13
MM - South Carolina	Aiken Times	2787	312011	2020-04-29	13
MM - Ohio	Akron Reporter	2187	311394	2020-04-29	13
Metro Business Network	Alabama Business Daily	1633	311070	2020-04-29	13
Metro Business Network	Alaska Business Daily	1634	311071	2020-04-29	13
MM - Georgia	Albany Standard	2307	311677	2020-04-29	13
MM - West Virginia	Allegheny Highlands Today	2641	311958	2020-04-29	13
MM - Pennsylvania	Altoona Times	2040	311466	2020-04-29	13
MM - Texas	Amarillo Gazette	2243	311515	2020-04-29	13
MM - Iowa	Ames Today	2044	311276	2020-04-29	13
MM - Indiana	Anderson Reporter	2471	311801	2020-04-29	13
MM - Michigan	Ann Arbor Times	1889	311172	2020-04-29	13
MM - Maryland	Anne Arundel Today	1684	311060	2020-04-29	13
MM - Minnesota	Anoka Times	2080	311300	2020-04-29	13
MM - California	Antelope Valley Today	2693	311577	2020-04-29	13
Metro Business Network	Arizona Business Daily	1147	311062	2020-04-29	13
Metro Business Network	Arkansas Business Daily	1673	311107	2020-04-29	13
MM - Maine	Aroostook News	2386	311725	2020-04-29	13
MM - North Carolina	Asheville Reporter	2140	311347	2020-04-29	13
MM - Georgia	Athens Reporter	2335	311704	2020-04-29	13
MM - Georgia	ATL Standard	2318	311688	2020-04-29	13
MM - New Jersey	Atlantic County Times	2514	311843	2020-04-29	13
MM - Alabama	Auburn Times	2541	311868	2020-04-29	13
MM - Texas	Austin News	2249	311521	2020-04-29	13
MM - Alabama	Baldwin Times	2542	311869	2020-04-29	13
MM - Maryland	Baltimore City Wire	1685	311144	2020-04-29	13
MM - Louisiana	Baton Rouge Reporter	2588	311913	2020-04-29	13
MM - Michigan	Battle Creek Times	1890	311173	2020-04-29	13
MM - Massachusetts	Bean Town Times	2769	312036	2020-04-29	13
MM - Pennsylvania	Beaver County News	2111	311491	2020-04-29	13
MM - Arkansas	Benton Times	2604	311898	2020-04-29	13
MM - South Carolina	Berkeley Leader	2788	312012	2020-04-29	13
MM - Pennsylvania	Berks County News	2030	311461	2020-04-29	13
MM - Hawaii	Big Island Times	2584	311910	2020-04-29	13
MM - Indiana	Bloomington Leader	2472	311802	2020-04-29	13
MM - West Virginia	Bluestone News	2642	311959	2020-04-29	13
MM - Idaho	Boise City Wire	2676	312053	2020-04-29	13
MM - Colorado	Boulder Leader	2462	311793	2020-04-29	13
MM - Kentucky	Bowling Green Today	2430	311765	2020-04-29	13
MM - Missouri	Branson Times	2130	311331	2020-04-29	13
MM - Florida	Brevard Sun	1961	311228	2020-04-29	13
MM - Connecticut	Bridgeport Times	2576	311903	2020-04-29	13
MM - Massachusetts	Bristol Reporter	2766	312033	2020-04-29	13
MM - New York	Buffalo Ledger	2802	311989	2020-04-29	13
MM - North Carolina	Burlington Reporter	2146	311353	2020-04-29	13
MM - New Jersey	Burlington Review	2510	311839	2020-04-29	13
MM - Vermont	Burlington Standard	2336	311705	2020-04-29	13
MM - Pennsylvania	Butler County News	2108	311490	2020-04-29	13
MM - Ohio	Butler County Today	2216	311423	2020-04-29	13
MM - North Carolina	Cabarrus Today	2141	311348	2020-04-29	13
Metro Business Network	California Business Daily	1635	311072	2020-04-29	13
MM - Pennsylvania	Cambria Times	2106	311489	2020-04-29	13
MM - Ohio	Canton Reporter	2192	311399	2020-04-29	13
