Metro Business Network	California Business Daily	1635	317560	2020-05-31	221
MM - California	Chico Times	2743	317571	2020-05-03	3
MM - California	Fresno Leader	2726	317562	2020-05-03	3
MM - California	Kern County Times	2721	317566	2020-05-06	6
MM - California	Kings County Times	2723	317573	2020-05-01	1
MM - California	Merced Times	2727	317579	2020-05-02	2
MM - California	Monterey Times	2728	317564	2020-05-01	1
MM - California	Oakland Record	2752	317570	2020-05-02	2
MM - California	Redding Today	2741	317578	2020-05-01	1
MM - California	Sacramento Standard	2746	317563	2020-05-08	8
MM - California	San Diego Record	2709	317568	2020-05-17	17
MM - California	San Francisco Sun	2750	317569	2020-05-05	5
MM - California	San Joaquin Times	2749	317561	2020-05-03	3
MM - California	San Jose Standard	2729	317577	2020-05-01	1
MM - California	San Mateo Sun	2751	317567	2020-05-07	7
MM - California	SLO Reporter	2722	317565	2020-05-03	3
MM - California	Stanislaus News	2733	317575	2020-05-02	2
MM - California	Tulare Times	2724	317572	2020-05-06	6
MM - California	Wine Country Times	2736	317576	2020-05-01	1
MM - California	Yuba-Sutter Times	2744	317574	2020-05-01	1
