Metro Business Network	California Business Daily	1635	327952	2020-11-28	1001
MM - California	Chico Times	2743	327966	2020-06-05	5
MM - California	East Sierra News	2725	327977	2020-06-01	1
MM - California	Fresno Leader	2726	327960	2020-06-17	17
MM - California	Imperial CA News	2720	327956	2020-06-02	2
MM - California	Kern County Times	2721	327961	2020-06-21	21
MM - California	Kings County Times	2723	327962	2020-06-04	4
MM - California	Marin Leader	2737	327969	2020-06-05	5
MM - California	Merced Times	2727	327965	2020-06-10	10
MM - California	Monterey Times	2728	327971	2020-06-07	7
MM - California	NE Cali News	2742	327974	2020-06-02	2
MM - California	Oakland Record	2752	327967	2020-06-12	12
MM - California	Redding Today	2741	327978	2020-06-05	5
MM - California	Redwood Empire News	2740	327976	2020-06-02	2
MM - California	Sacramento Standard	2746	327953	2020-11-03	156
MM - California	San Diego Record	2709	327954	2020-07-22	52
MM - California	San Francisco Sun	2750	327955	2020-06-21	21
MM - California	San Joaquin Times	2749	327958	2020-06-17	17
MM - California	San Jose Standard	2729	327970	2020-06-21	21
MM - California	San Mateo Sun	2751	327972	2020-06-17	17
MM - California	Santa Cruz Standard	2732	327975	2020-06-04	4
MM - California	SLO Reporter	2722	327973	2020-06-06	6
MM - California	Solano Sun	2738	327964	2020-06-10	10
MM - California	Stanislaus News	2733	327963	2020-06-12	12
MM - California	Tulare Times	2724	327957	2020-06-13	13
MM - California	Wine Country Times	2736	327968	2020-06-15	15
MM - California	Yuba-Sutter Times	2744	327959	2020-06-04	4
