Metro Business Network	California Business Daily	1635	327979	2020-11-28	260
MM - California	Chico Times	2743	327988	2020-06-03	3
MM - California	Fresno Leader	2726	327985	2020-06-03	3
MM - California	Kern County Times	2721	327983	2020-06-07	7
MM - California	Kings County Times	2723	327984	2020-06-01	1
MM - California	Merced Times	2727	327996	2020-06-02	2
MM - California	Monterey Times	2728	327989	2020-06-01	1
MM - California	Oakland Record	2752	327994	2020-06-02	2
MM - California	Redding Today	2741	327995	2020-06-01	1
MM - California	Sacramento Standard	2746	327981	2020-07-12	42
MM - California	San Diego Record	2709	327980	2020-06-17	17
MM - California	San Francisco Sun	2750	327991	2020-06-05	5
MM - California	San Joaquin Times	2749	327986	2020-06-03	3
MM - California	San Jose Standard	2729	327993	2020-06-01	1
MM - California	San Mateo Sun	2751	327992	2020-06-08	8
MM - California	SLO Reporter	2722	327990	2020-06-03	3
MM - California	Solano Sun	2738	327987	2020-06-01	1
MM - California	Stanislaus News	2733	327998	2020-06-02	2
MM - California	Tulare Times	2724	327982	2020-06-06	6
MM - California	Wine Country Times	2736	327999	2020-06-02	2
MM - California	Yuba-Sutter Times	2744	327997	2020-06-01	1
