MM - Iowa	Ames Today	2044	340165	2020-06-11	54
MM - Iowa	Cedar Rapids Today	2046	340157	2020-06-11	98
MM - Iowa	Central Iowa Times	2060	340156	2020-06-11	68
MM - Iowa	Des Moines Sun	2052	340150	2020-06-12	164
MM - Iowa	Dubuque Times	2057	340161	2020-06-11	86
MM - Iowa	East Central Iowa News	2055	340154	2020-06-12	129
Metro Business Network	Iowa Business Daily	1405	340148	2020-06-21	1111
MM - Iowa	Iowa City Today	2059	340153	2020-06-11	72
MM - Iowa	NE Iowa News	2061	340166	2020-06-01	43
MM - Iowa	North Iowa Reporter	2063	340155	2020-06-11	84
MM - Iowa	NW Iowa News	2064	340163	2020-06-01	35
MM - Iowa	River Bend Times	2065	340152	2020-06-11	125
MM - Iowa	SE Iowa News	2067	340158	2020-06-11	75
MM - Iowa	Sioux City Times	2066	340160	2020-06-01	75
MM - Iowa	South DSM News	2047	340159	2020-06-11	37
MM - Iowa	South Iowa News	2068	340149	2020-06-11	64
MM - Iowa	SW Iowa Times	2069	340151	2020-06-11	104
MM - Iowa	Waterloo Times	2058	340164	2020-06-11	48
MM - Iowa	WC Iowa News	2062	340162	2020-06-11	69
