Highest paid teacher in district makes $23,868 more than mid-range teacher salaries	Antelope Valley Today	https://pipeline.locallabs.com/stories/544206974	2020-07-29 09:32:22	Antelope Valley Today - California - Highest Paid Teacher compared to mid-range (District) HLE	MM - California
Highest paid teacher in district makes $20,578 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207333	2020-10-16 09:14:34	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $28,571 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207057	2020-08-06 09:20:39	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $26,960 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207474	2020-10-12 11:13:11	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $16,953 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207038	2020-08-31 10:06:29	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $21,446 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207575	2020-12-01 08:54:55	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $23,887 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207238	2020-09-15 07:18:52	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $24,297 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207158	2020-08-31 11:25:30	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $9,953 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207658	2021-01-12 08:30:39	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $19,977 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207310	2020-10-25 09:55:28	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $22,203 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207438	2020-10-31 08:38:33	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $2,625 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207737	2021-01-20 06:03:26	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $27,659 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207455	2020-10-06 09:34:57	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $14,505 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207021	2020-09-02 09:59:49	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $21,610 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207123	2020-09-06 09:07:43	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $13,582 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207563	2020-12-03 08:09:10	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $25,527 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207217	2020-09-05 08:37:39	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $14,123 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207147	2020-10-23 09:40:11	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $19,391 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207642	2020-12-23 06:38:49	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $28,935 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207297	2020-09-07 10:01:46	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
Highest paid teacher in district makes $19,014 more than mid-range teacher salaries	California Business Daily	https://pipeline.locallabs.com/stories/544207418	2020-11-13 06:12:27	California Business Daily - California - Highest Paid Teacher compared to mid-range (District) HLE	Metro Business Network
